port	total_count	req_count
wget	432	432
git	340	340
ffmpeg	330	330
cmake	288	288
coreutils	277	277
yt-dlp	242	242
htop	242	242
nmap	242	242
bash	238	238
ImageMagick	237	237
curl	229	229
autoconf	206	206
rsync	205	205
automake	204	204
jq	203	203
tree	188	188
go	182	182
gawk	175	175
pkgconfig	171	171
gnupg2	164	164
inetutils	163	163
exiftool	159	159
grep	157	157
unrar	154	154
tmux	153	153
gmake	148	148
openssh	147	147
pandoc	147	147
gsed	145	145
p7zip	141	141
findutils	141	141
xorg-server	137	137
rlwrap	135	135
ninja	131	131
dos2unix	130	130
ripgrep	129	129
bash-completion	127	127
smartmontools	126	126
gh	126	126
cargo	122	122
ghostscript	122	122
rust	122	122
vim	121	121
graphviz	121	121
openssl	119	119
glib2	116	116
lynx	115	115
bison	114	114
watch	114	114
aspell-dict-en	114	114
poppler	113	113
meson	112	112
fzf	110	110
emacs	109	109
gnutar	107	107
perl5	104	104
python311	104	104
iperf3	102	102
sqlite3	100	100
tk	98	98
python313	97	97
aspell	95	95
gnuplot	95	95
python312	93	93
zsh	91	91
mtr	90	90
port_cutleaves	88	88
cctools	87	87
python314	87	87
uv	87	87
texlive-latex-extra	87	87
nasm	87	87
lzip	86	86
libsdl2	86	86
gzip	86	86
emacs-app	85	85
subversion	85	85
libtool	85	85
py-pip	83	83
neovim	83	83
openssl3	83	83
bat	81	81
fd	81	81
tesseract-eng	80	80
nano	80	80
texinfo	80	80
tcl	79	79
qemu	79	79
neofetch	79	79
texlive	79	79
xz	78	78
mc	76	76
boost	76	76
py312-pip	76	76
gmp	76	76
readline	75	75
libxml2	75	75
util-linux	74	74
shellcheck	74	74
py313-pip	74	74
