port	total_count	req_count
wget	436	436
git	349	349
ffmpeg	343	343
cmake	309	309
coreutils	281	281
ImageMagick	254	254
bash	249	249
nmap	249	249
htop	249	249
yt-dlp	244	244
curl	232	232
autoconf	212	212
jq	210	210
automake	210	210
rsync	205	205
gawk	195	195
go	185	185
tree	182	182
pkgconfig	175	175
inetutils	175	175
gnupg2	170	170
unrar	167	167
grep	161	161
tmux	161	161
gsed	158	158
exiftool	157	157
pandoc	156	156
openssh	154	154
gmake	152	152
xorg-server	147	147
findutils	144	144
rlwrap	143	143
p7zip	143	143
dos2unix	140	140
bash-completion	137	137
vim	133	133
ripgrep	133	133
ghostscript	131	131
ninja	128	128
graphviz	127	127
smartmontools	126	126
cargo	120	120
gh	120	120
openssl	119	119
poppler	118	118
aspell-dict-en	118	118
bison	117	117
rust	114	114
lynx	114	114
glib2	113	113
watch	113	113
fzf	112	112
emacs	111	111
iperf3	111	111
perl5	110	110
gnutar	110	110
meson	107	107
sqlite3-tcl	106	106
gnuplot	105	105
python311	104	104
python313	102	102
tk	99	99
python312	99	99
sqlite3	98	98
aspell	98	98
cctools	96	96
port_cutleaves	95	95
mtr	94	94
zsh	94	94
libtool	92	92
subversion	91	91
emacs-app	90	90
libsdl2	90	90
texlive-latex-extra	89	89
py-pip	88	88
nano	88	88
mc	87	87
fd	86	86
lzip	85	85
neovim	85	85
bat	84	84
gzip	84	84
qemu	84	84
tesseract-eng	83	83
nasm	82	82
openssl3	82	82
py312-pip	82	82
python314	81	81
pstree	81	81
neofetch	81	81
boost	81	81
py313-pip	80	80
uv	80	80
youtube-dl	80	80
texinfo	79	79
tcl	79	79
texlive	78	78
doxygen	78	78
python310	78	78
OpenBLAS	77	77
