port	total_count	req_count
wget	427	427
git	347	347
ffmpeg	325	325
cmake	291	291
coreutils	273	273
yt-dlp	244	244
htop	243	243
bash	235	235
nmap	235	235
ImageMagick	231	231
curl	226	226
rsync	209	209
autoconf	205	205
automake	202	202
jq	201	201
go	182	182
tree	182	182
gawk	174	174
pkgconfig	169	169
inetutils	162	162
gnupg2	161	161
exiftool	160	160
tmux	157	157
unrar	148	148
pandoc	148	148
grep	148	148
openssh	148	148
gmake	145	145
xorg-server	142	142
gsed	140	140
p7zip	136	136
rlwrap	136	136
findutils	135	135
ripgrep	134	134
ninja	130	130
ghostscript	126	126
gh	125	125
bash-completion	124	124
dos2unix	123	123
vim	123	123
graphviz	123	123
openssl	123	123
smartmontools	122	122
rust	120	120
cargo	120	120
aspell-dict-en	116	116
poppler	114	114
watch	112	112
bison	112	112
meson	109	109
fzf	109	109
glib2	108	108
lynx	108	108
perl5	104	104
python311	103	103
gnutar	102	102
iperf3	102	102
sqlite3	101	101
gnuplot	100	100
tk	99	99
emacs	99	99
aspell	97	97
python314	94	94
zsh	93	93
python312	93	93
python313	92	92
mtr	88	88
subversion	88	88
port_cutleaves	87	87
libtool	85	85
uv	85	85
neovim	84	84
texlive-latex-extra	84	84
fd	83	83
tesseract-eng	83	83
bat	83	83
py-pip	83	83
openssl3	83	83
cctools	82	82
emacs-app	82	82
libsdl2	81	81
nasm	81	81
gzip	80	80
texlive	80	80
py312-pip	80	80
xz	80	80
neofetch	79	79
lzip	79	79
tcl	78	78
texinfo	78	78
nano	78	78
qemu	77	77
boost	76	76
py313-pip	75	75
mc	75	75
readline	74	74
tesseract	73	73
7zip	73	73
py314-pip	73	73
libxml2	73	73
