port	total_count	req_count
wget	435	435
git	344	344
ffmpeg	342	342
cmake	286	286
coreutils	286	286
nmap	250	250
ImageMagick	250	250
bash	249	249
htop	244	244
yt-dlp	239	239
curl	222	222
automake	211	211
autoconf	209	209
jq	207	207
rsync	203	203
gawk	187	187
tree	177	177
go	176	176
pkgconfig	173	173
inetutils	170	170
gnupg2	164	164
unrar	163	163
exiftool	159	159
grep	158	158
gsed	154	154
tmux	154	154
openssh	152	152
pandoc	152	152
gmake	148	148
findutils	147	147
xorg-server	142	142
p7zip	139	139
rlwrap	139	139
dos2unix	138	138
bash-completion	137	137
vim	134	134
ripgrep	131	131
smartmontools	129	129
graphviz	126	126
ghostscript	124	124
openssl	121	121
gh	119	119
bison	119	119
ninja	119	119
poppler	115	115
aspell-dict-en	114	114
cargo	113	113
glib2	113	113
gnutar	111	111
iperf3	111	111
emacs	109	109
watch	109	109
lynx	109	109
rust	107	107
perl5	106	106
fzf	105	105
sqlite3-tcl	104	104
python313	104	104
python311	103	103
python312	101	101
gnuplot	101	101
meson	100	100
tk	98	98
sqlite3	97	97
aspell	95	95
port_cutleaves	95	95
emacs-app	93	93
mtr	92	92
cctools	92	92
zsh	91	91
texlive-latex-extra	89	89
py-pip	88	88
libtool	87	87
subversion	87	87
fd	85	85
neofetch	85	85
gzip	84	84
mc	84	84
tesseract-eng	84	84
libsdl2	84	84
bat	83	83
lzip	82	82
boost	82	82
qemu	82	82
openssl3	82	82
py312-pip	81	81
texlive	81	81
texinfo	80	80
neovim	80	80
nano	80	80
libxml2	79	79
pstree	76	76
tcl	76	76
nasm	76	76
py313-pip	76	76
xz	75	75
util-linux	75	75
python310	75	75
uv	75	75
youtube-dl	75	75
