port	total_count	req_count
wget	433	433
git	346	346
ffmpeg	329	329
cmake	293	293
coreutils	274	274
htop	246	246
yt-dlp	244	244
nmap	242	242
bash	238	238
ImageMagick	234	234
curl	232	232
rsync	208	208
autoconf	207	207
jq	205	205
automake	204	204
go	186	186
tree	184	184
gawk	174	174
pkgconfig	172	172
inetutils	165	165
gnupg2	165	165
exiftool	162	162
tmux	158	158
grep	154	154
openssh	151	151
unrar	150	150
pandoc	147	147
gmake	147	147
gsed	144	144
xorg-server	138	138
p7zip	138	138
rlwrap	135	135
findutils	135	135
ninja	133	133
ripgrep	133	133
bash-completion	127	127
ghostscript	126	126
dos2unix	126	126
graphviz	126	126
smartmontools	125	125
gh	125	125
cargo	123	123
openssl	122	122
rust	121	121
vim	121	121
poppler	119	119
aspell-dict-en	118	118
glib2	113	113
watch	113	113
bison	113	113
meson	113	113
lynx	113	113
fzf	111	111
gnutar	106	106
perl5	105	105
emacs	104	104
python311	104	104
tk	103	103
sqlite3	103	103
iperf3	102	102
gnuplot	100	100
aspell	98	98
python312	94	94
python314	94	94
zsh	94	94
python313	92	92
mtr	89	89
port_cutleaves	88	88
cctools	86	86
libsdl2	86	86
libtool	86	86
subversion	86	86
texlive-latex-extra	86	86
neovim	85	85
uv	85	85
openssl3	85	85
nasm	84	84
tesseract-eng	84	84
fd	83	83
py-pip	83	83
bat	83	83
gzip	82	82
emacs-app	82	82
lzip	81	81
tcl	80	80
xz	80	80
texinfo	80	80
texlive	79	79
py312-pip	79	79
nano	79	79
neofetch	78	78
boost	78	78
qemu	76	76
readline	75	75
gmp	75	75
tesseract	74	74
mc	74	74
parallel	74	74
libxml2	73	73
py313-pip	72	72
