port	total_count	req_count
wget	433	433
git	344	344
ffmpeg	341	341
cmake	289	289
coreutils	285	285
ImageMagick	254	254
nmap	250	250
bash	246	246
htop	244	244
yt-dlp	236	236
curl	221	221
automake	215	215
autoconf	213	213
jq	209	209
rsync	209	209
gawk	185	185
tree	177	177
go	177	177
pkgconfig	172	172
inetutils	167	167
gnupg2	165	165
unrar	164	164
exiftool	160	160
grep	156	156
pandoc	155	155
openssh	154	154
tmux	152	152
gsed	151	151
findutils	147	147
gmake	146	146
xorg-server	143	143
p7zip	141	141
bash-completion	138	138
rlwrap	137	137
ripgrep	134	134
dos2unix	134	134
vim	133	133
graphviz	128	128
smartmontools	126	126
ghostscript	125	125
gh	123	123
ninja	121	121
openssl	118	118
aspell-dict-en	116	116
bison	115	115
gnutar	114	114
cargo	113	113
glib2	110	110
lynx	110	110
poppler	110	110
perl5	109	109
iperf3	108	108
sqlite3-tcl	108	108
rust	107	107
watch	106	106
emacs	105	105
python311	103	103
meson	103	103
python313	102	102
fzf	102	102
gnuplot	101	101
python312	99	99
aspell	96	96
tk	96	96
sqlite3	95	95
port_cutleaves	95	95
mtr	92	92
emacs-app	91	91
cctools	90	90
zsh	90	90
py-pip	89	89
subversion	88	88
libtool	88	88
neofetch	86	86
fd	86	86
gzip	85	85
texlive-latex-extra	85	85
tesseract-eng	84	84
bat	82	82
libsdl2	81	81
texlive	81	81
py312-pip	81	81
qemu	81	81
nano	81	81
openssl3	80	80
neovim	80	80
boost	80	80
mc	79	79
texinfo	79	79
lzip	78	78
pstree	77	77
py313-pip	77	77
youtube-dl	77	77
libxml2	76	76
uv	76	76
xz	76	76
tcl	75	75
OpenBLAS	75	75
qpdf	75	75
zstd	75	75
