port	total_count	req_count
wget	435	435
git	350	350
ffmpeg	338	338
cmake	306	306
coreutils	281	281
htop	251	251
ImageMagick	250	250
bash	249	249
nmap	244	244
yt-dlp	241	241
curl	227	227
autoconf	212	212
jq	209	209
automake	209	209
rsync	201	201
gawk	193	193
go	184	184
tree	181	181
inetutils	176	176
gnupg2	170	170
pkgconfig	170	170
unrar	164	164
tmux	162	162
grep	158	158
gsed	156	156
exiftool	155	155
pandoc	155	155
openssh	153	153
gmake	152	152
xorg-server	149	149
findutils	144	144
p7zip	143	143
dos2unix	141	141
rlwrap	140	140
bash-completion	136	136
ripgrep	132	132
vim	131	131
smartmontools	128	128
ninja	127	127
ghostscript	126	126
graphviz	126	126
gh	120	120
aspell-dict-en	119	119
poppler	119	119
cargo	118	118
openssl	118	118
bison	116	116
lynx	115	115
watch	113	113
iperf3	113	113
rust	113	113
glib2	112	112
fzf	111	111
emacs	111	111
gnutar	109	109
sqlite3-tcl	108	108
perl5	107	107
meson	107	107
python311	104	104
gnuplot	103	103
python313	101	101
python312	99	99
aspell	99	99
tk	98	98
cctools	95	95
sqlite3	94	94
port_cutleaves	94	94
zsh	93	93
mtr	93	93
subversion	92	92
emacs-app	89	89
libtool	89	89
texlive-latex-extra	89	89
nano	88	88
py-pip	88	88
libsdl2	88	88
mc	87	87
fd	85	85
tesseract-eng	84	84
lzip	84	84
neovim	83	83
bat	83	83
py312-pip	83	83
boost	82	82
pstree	82	82
gzip	82	82
qemu	82	82
neofetch	80	80
python314	80	80
nasm	80	80
uv	79	79
openssl3	79	79
texlive	79	79
OpenBLAS	78	78
youtube-dl	78	78
tcl	78	78
texinfo	78	78
doxygen	78	78
py313-pip	77	77
util-linux	76	76
