port	total_count	req_count
wget	446	446
git	347	347
ffmpeg	342	342
cmake	292	292
coreutils	288	288
ImageMagick	260	260
htop	253	253
nmap	252	252
bash	247	247
yt-dlp	242	242
curl	224	224
jq	214	214
automake	212	212
autoconf	212	212
rsync	210	210
gawk	185	185
tree	184	184
go	180	180
pkgconfig	173	173
gnupg2	170	170
exiftool	166	166
unrar	166	166
inetutils	164	164
tmux	159	159
pandoc	158	158
gsed	157	157
grep	157	157
openssh	154	154
gmake	148	148
findutils	148	148
p7zip	146	146
xorg-server	143	143
dos2unix	138	138
bash-completion	135	135
vim	134	134
ripgrep	133	133
rlwrap	133	133
graphviz	128	128
gh	127	127
ninja	125	125
ghostscript	124	124
smartmontools	123	123
openssl	119	119
aspell-dict-en	118	118
cargo	118	118
bison	115	115
gnutar	114	114
lynx	114	114
poppler	111	111
watch	110	110
emacs	109	109
perl5	109	109
rust	109	109
glib2	109	109
sqlite3-tcl	106	106
iperf3	106	106
meson	106	106
python311	105	105
python313	104	104
python312	104	104
fzf	104	104
gnuplot	101	101
sqlite3	98	98
aspell	98	98
port_cutleaves	95	95
zsh	95	95
neofetch	95	95
tk	94	94
mtr	94	94
py-pip	93	93
cctools	89	89
fd	89	89
emacs-app	89	89
py312-pip	89	89
subversion	88	88
texlive-latex-extra	88	88
gzip	87	87
tesseract-eng	86	86
texlive	86	86
libtool	85	85
nano	85	85
bat	85	85
boost	82	82
mc	82	82
py313-pip	82	82
lzip	81	81
neovim	80	80
libsdl2	80	80
openssl3	78	78
qemu	78	78
xz	78	78
python310	77	77
texinfo	77	77
uv	76	76
pstree	76	76
libxml2	76	76
nasm	76	76
youtube-dl	76	76
pv	74	74
OpenBLAS	74	74
