port	total_count	req_count
wget	429	429
git	352	352
ffmpeg	335	335
cmake	301	301
coreutils	283	283
htop	252	252
nmap	248	248
bash	247	247
ImageMagick	247	247
yt-dlp	244	244
curl	226	226
autoconf	212	212
automake	207	207
rsync	206	206
jq	206	206
gawk	190	190
go	184	184
tree	181	181
inetutils	173	173
gnupg2	171	171
pkgconfig	168	168
tmux	161	161
unrar	160	160
grep	158	158
pandoc	157	157
exiftool	157	157
gsed	155	155
openssh	152	152
gmake	151	151
xorg-server	145	145
findutils	143	143
p7zip	141	141
dos2unix	140	140
rlwrap	138	138
bash-completion	134	134
ripgrep	131	131
smartmontools	128	128
vim	127	127
ninja	126	126
ghostscript	125	125
graphviz	123	123
gh	121	121
poppler	120	120
openssl	119	119
aspell-dict-en	117	117
cargo	116	116
bison	114	114
watch	114	114
lynx	114	114
iperf3	113	113
rust	112	112
fzf	112	112
emacs	110	110
glib2	109	109
gnutar	107	107
meson	107	107
python311	106	106
perl5	106	106
python313	102	102
gnuplot	101	101
aspell	98	98
sqlite3	97	97
mtr	96	96
python312	96	96
tk	96	96
port_cutleaves	95	95
zsh	93	93
nano	92	92
cctools	92	92
subversion	90	90
sqlite3-tcl	89	89
libtool	88	88
texlive-latex-extra	87	87
mc	86	86
emacs-app	86	86
py-pip	86	86
lzip	85	85
neovim	84	84
gzip	84	84
libsdl2	84	84
python314	83	83
neofetch	83	83
fd	83	83
py312-pip	82	82
bat	82	82
qemu	82	82
tesseract-eng	82	82
pstree	80	80
tcl	80	80
uv	79	79
texinfo	79	79
util-linux	78	78
boost	78	78
nasm	78	78
py313-pip	78	78
texlive	77	77
youtube-dl	77	77
openssl3	77	77
OpenBLAS	75	75
doxygen	75	75
