port	total_count	req_count
wget	439	439
git	358	358
ffmpeg	351	351
cmake	292	292
coreutils	280	280
ImageMagick	252	252
nmap	251	251
yt-dlp	249	249
htop	249	249
bash	241	241
curl	220	220
jq	211	211
rsync	202	202
autoconf	196	196
automake	194	194
tree	185	185
gawk	185	185
go	174	174
unrar	173	173
pkgconfig	169	169
tmux	165	165
gnupg2	163	163
inetutils	161	161
grep	155	155
exiftool	154	154
openssh	152	152
pandoc	152	152
gsed	150	150
p7zip	144	144
findutils	142	142
rlwrap	141	141
xorg-server	139	139
gmake	136	136
dos2unix	130	130
bash-completion	127	127
graphviz	127	127
vim	125	125
ripgrep	123	123
gh	121	121
cargo	120	120
openssl	119	119
ghostscript	118	118
smartmontools	118	118
ninja	117	117
aspell-dict-en	114	114
rust	110	110
glib2	110	110
bison	108	108
iperf3	107	107
perl5	107	107
lynx	107	107
gnutar	107	107
emacs	106	106
watch	106	106
python312	106	106
poppler	105	105
fzf	102	102
python311	101	101
sqlite3-tcl	100	100
python313	100	100
gnuplot	99	99
zsh	98	98
texlive	97	97
aspell	97	97
sqlite3	92	92
meson	92	92
py-pip	90	90
port_cutleaves	90	90
emacs-app	89	89
tk	89	89
subversion	89	89
cctools	88	88
mtr	88	88
mc	87	87
youtube-dl	86	86
gzip	85	85
py313-pip	84	84
texlive-latex-extra	84	84
qemu	84	84
py312-pip	84	84
libtool	83	83
OpenBLAS	82	82
texinfo	80	80
openssl3	80	80
tesseract-eng	79	79
nano	79	79
lzip	79	79
neofetch	79	79
fd	78	78
pstree	77	77
neovim	77	77
nasm	76	76
docker	75	75
boost	75	75
libsdl2	75	75
ccache	74	74
bat	74	74
python310	73	73
pwgen	73	73
util-linux	73	73
