port	total_count	req_count
wget	441	441
git	361	361
ffmpeg	346	346
cmake	292	292
coreutils	278	278
ImageMagick	256	256
htop	254	254
nmap	250	250
yt-dlp	248	248
bash	243	243
curl	228	228
jq	214	214
rsync	205	205
autoconf	200	200
automake	199	199
gawk	184	184
tree	182	182
go	176	176
unrar	171	171
pkgconfig	168	168
tmux	166	166
inetutils	163	163
gnupg2	162	162
exiftool	156	156
pandoc	156	156
grep	153	153
openssh	152	152
gsed	151	151
p7zip	146	146
xorg-server	145	145
gmake	141	141
findutils	140	140
rlwrap	139	139
dos2unix	137	137
vim	127	127
graphviz	127	127
cargo	126	126
bash-completion	125	125
ghostscript	122	122
aspell-dict-en	120	120
ripgrep	119	119
gh	118	118
openssl	118	118
smartmontools	116	116
ninja	116	116
rust	113	113
glib2	112	112
bison	111	111
lynx	110	110
emacs	109	109
poppler	109	109
perl5	107	107
gnutar	107	107
watch	106	106
iperf3	105	105
sqlite3-tcl	104	104
fzf	104	104
gnuplot	104	104
python312	104	104
texlive	102	102
aspell	101	101
python313	101	101
zsh	100	100
python311	100	100
subversion	92	92
meson	92	92
texlive-latex-extra	91	91
tk	91	91
port_cutleaves	91	91
emacs-app	90	90
mc	90	90
cctools	90	90
py-pip	88	88
py312-pip	88	88
sqlite3	87	87
youtube-dl	86	86
mtr	86	86
py313-pip	86	86
libtool	85	85
qemu	84	84
gzip	83	83
fd	82	82
texinfo	82	82
neofetch	81	81
nano	81	81
OpenBLAS	81	81
tesseract-eng	79	79
lzip	79	79
libsdl2	79	79
nasm	79	79
pstree	77	77
neovim	77	77
python310	76	76
ccache	76	76
py311-pip	75	75
openssl3	75	75
bat	75	75
pwgen	74	74
texlive-fonts-extra	74	74
util-linux	73	73
