port	total_count	req_count
wget	449	449
git	351	351
ffmpeg	338	338
cmake	295	295
coreutils	284	284
ImageMagick	259	259
nmap	251	251
htop	250	250
bash	249	249
yt-dlp	234	234
curl	232	232
autoconf	216	216
jq	215	215
automake	214	214
rsync	208	208
gawk	184	184
tree	183	183
go	179	179
pkgconfig	178	178
gnupg2	169	169
inetutils	163	163
unrar	162	162
exiftool	160	160
tmux	159	159
grep	158	158
pandoc	157	157
gsed	155	155
openssh	152	152
gmake	151	151
findutils	146	146
p7zip	143	143
dos2unix	139	139
xorg-server	138	138
ripgrep	135	135
rlwrap	133	133
vim	129	129
bash-completion	127	127
gh	127	127
ninja	125	125
smartmontools	122	122
ghostscript	121	121
graphviz	121	121
openssl	120	120
cargo	118	118
lynx	116	116
gnutar	115	115
aspell-dict-en	114	114
bison	112	112
perl5	111	111
rust	109	109
watch	108	108
poppler	107	107
glib2	107	107
emacs	107	107
python311	105	105
fzf	104	104
sqlite3-tcl	104	104
iperf3	104	104
python312	103	103
meson	102	102
python313	102	102
gnuplot	101	101
sqlite3	97	97
mtr	96	96
tk	95	95
port_cutleaves	95	95
neofetch	94	94
py-pip	94	94
aspell	94	94
zsh	93	93
fd	91	91
emacs-app	91	91
cctools	89	89
texlive	89	89
subversion	88	88
libtool	88	88
py312-pip	88	88
gzip	86	86
nano	86	86
bat	86	86
texlive-latex-extra	84	84
neovim	84	84
mc	84	84
tesseract-eng	83	83
py313-pip	82	82
lzip	81	81
qemu	80	80
texinfo	80	80
youtube-dl	78	78
boost	78	78
libsdl2	77	77
xz	77	77
openssl3	76	76
uv	76	76
7zip	75	75
nasm	75	75
python310	75	75
OpenBLAS	75	75
pv	74	74
gettext	74	74
