port	total_count	req_count
wget	464	464
git	362	362
ffmpeg	351	351
cmake	303	303
coreutils	291	291
ImageMagick	262	262
htop	256	256
nmap	256	256
bash	254	254
yt-dlp	242	242
curl	234	234
jq	220	220
automake	217	217
autoconf	217	217
rsync	214	214
gawk	192	192
tree	190	190
go	184	184
pkgconfig	183	183
unrar	174	174
gnupg2	170	170
inetutils	170	170
tmux	163	163
grep	161	161
gsed	161	161
gmake	157	157
exiftool	157	157
openssh	156	156
pandoc	152	152
findutils	147	147
p7zip	144	144
rlwrap	144	144
xorg-server	143	143
dos2unix	140	140
vim	135	135
ripgrep	131	131
openssl	131	131
bash-completion	129	129
ninja	128	128
ghostscript	125	125
graphviz	123	123
cargo	121	121
aspell-dict-en	121	121
smartmontools	121	121
gh	120	120
bison	119	119
gnutar	116	116
lynx	116	116
perl5	114	114
rust	112	112
iperf3	111	111
poppler	110	110
sqlite3-tcl	109	109
python313	109	109
emacs	109	109
gnuplot	108	108
glib2	107	107
watch	106	106
meson	106	106
python311	105	105
fzf	105	105
python312	104	104
aspell	101	101
tk	100	100
sqlite3	100	100
zsh	99	99
mtr	97	97
port_cutleaves	95	95
subversion	93	93
py312-pip	93	93
py-pip	93	93
emacs-app	93	93
texlive	91	91
cctools	91	91
mc	89	89
fd	89	89
libtool	89	89
texlive-latex-extra	88	88
neofetch	88	88
gzip	87	87
nano	84	84
lzip	84	84
texinfo	84	84
py313-pip	83	83
bat	83	83
qemu	83	83
neovim	83	83
tesseract-eng	82	82
libsdl2	82	82
openssl3	80	80
tcl	80	80
nasm	80	80
boost	79	79
youtube-dl	79	79
pstree	79	79
OpenBLAS	78	78
7zip	77	77
python310	77	77
uv	76	76
gcc14	76	76
