port	total_count	req_count
wget	430	430
git	351	351
ffmpeg	338	338
cmake	304	304
coreutils	282	282
htop	251	251
bash	249	249
ImageMagick	249	249
nmap	247	247
yt-dlp	241	241
curl	227	227
autoconf	213	213
automake	209	209
jq	209	209
rsync	203	203
gawk	194	194
go	183	183
tree	182	182
inetutils	174	174
pkgconfig	172	172
gnupg2	170	170
tmux	163	163
unrar	162	162
grep	160	160
pandoc	157	157
gsed	156	156
exiftool	155	155
gmake	153	153
openssh	152	152
xorg-server	148	148
findutils	144	144
p7zip	142	142
dos2unix	141	141
rlwrap	140	140
bash-completion	135	135
ripgrep	132	132
ninja	128	128
vim	128	128
smartmontools	127	127
ghostscript	126	126
graphviz	125	125
poppler	121	121
gh	121	121
cargo	119	119
aspell-dict-en	118	118
openssl	117	117
lynx	116	116
bison	115	115
watch	113	113
rust	113	113
fzf	113	113
iperf3	113	113
glib2	111	111
meson	108	108
emacs	108	108
gnutar	107	107
perl5	107	107
python311	105	105
gnuplot	102	102
python313	101	101
sqlite3-tcl	101	101
aspell	99	99
tk	98	98
python312	97	97
sqlite3	96	96
cctools	94	94
zsh	94	94
mtr	94	94
port_cutleaves	94	94
subversion	91	91
nano	91	91
libtool	90	90
emacs-app	89	89
mc	89	89
texlive-latex-extra	88	88
py-pip	87	87
libsdl2	87	87
fd	85	85
lzip	85	85
neovim	84	84
tesseract-eng	84	84
bat	83	83
gzip	83	83
qemu	82	82
neofetch	82	82
pstree	82	82
py312-pip	82	82
python314	81	81
nasm	80	80
boost	80	80
tcl	79	79
uv	79	79
texinfo	79	79
texlive	78	78
openssl3	78	78
py313-pip	78	78
doxygen	78	78
youtube-dl	77	77
pv	76	76
util-linux	76	76
