port	total_count	req_count
wget	450	450
git	361	361
ffmpeg	348	348
cmake	298	298
coreutils	287	287
ImageMagick	258	258
bash	254	254
htop	253	253
nmap	245	245
yt-dlp	241	241
curl	230	230
jq	216	216
rsync	213	213
automake	210	210
autoconf	207	207
gawk	189	189
tree	186	186
go	184	184
pkgconfig	175	175
unrar	174	174
inetutils	170	170
gnupg2	168	168
exiftool	160	160
gsed	157	157
grep	157	157
openssh	157	157
tmux	156	156
pandoc	149	149
gmake	147	147
rlwrap	146	146
findutils	145	145
dos2unix	144	144
xorg-server	144	144
p7zip	138	138
ripgrep	134	134
vim	134	134
openssl	130	130
bash-completion	130	130
graphviz	126	126
ninja	123	123
ghostscript	123	123
gh	122	122
aspell-dict-en	120	120
cargo	119	119
smartmontools	117	117
rust	114	114
bison	112	112
sqlite3-tcl	112	112
gnutar	111	111
gnuplot	111	111
lynx	111	111
emacs	111	111
poppler	111	111
iperf3	109	109
perl5	109	109
python313	107	107
fzf	107	107
glib2	104	104
python311	104	104
watch	102	102
python312	102	102
meson	100	100
aspell	99	99
zsh	99	99
emacs-app	97	97
sqlite3	97	97
port_cutleaves	95	95
mtr	95	95
tk	95	95
subversion	94	94
py-pip	93	93
py312-pip	92	92
texlive	91	91
mc	90	90
libtool	88	88
cctools	87	87
fd	87	87
gzip	86	86
texlive-latex-extra	84	84
bat	83	83
py313-pip	83	83
neofetch	82	82
qemu	81	81
libsdl2	81	81
OpenBLAS	81	81
lzip	80	80
neovim	80	80
nano	80	80
openssl3	80	80
tesseract-eng	79	79
texinfo	79	79
youtube-dl	78	78
tcl	77	77
pstree	77	77
python310	77	77
boost	76	76
nasm	76	76
7zip	75	75
pv	75	75
pwgen	74	74
