port	total_count	req_count
wget	439	439
git	342	342
ffmpeg	338	338
cmake	290	290
coreutils	285	285
ImageMagick	253	253
htop	249	249
nmap	248	248
bash	245	245
yt-dlp	239	239
curl	220	220
automake	211	211
autoconf	210	210
jq	210	210
rsync	207	207
gawk	181	181
tree	181	181
go	176	176
pkgconfig	169	169
gnupg2	165	165
unrar	165	165
inetutils	164	164
exiftool	160	160
pandoc	155	155
tmux	154	154
grep	152	152
gsed	151	151
openssh	150	150
xorg-server	145	145
findutils	145	145
gmake	144	144
p7zip	143	143
dos2unix	136	136
bash-completion	135	135
rlwrap	132	132
vim	131	131
ripgrep	130	130
graphviz	126	126
ghostscript	125	125
smartmontools	124	124
gh	123	123
ninja	120	120
cargo	115	115
openssl	115	115
aspell-dict-en	114	114
bison	113	113
gnutar	111	111
lynx	109	109
poppler	109	109
glib2	108	108
rust	108	108
perl5	107	107
watch	107	107
iperf3	107	107
sqlite3-tcl	105	105
python311	104	104
emacs	104	104
meson	104	104
python313	102	102
gnuplot	101	101
python312	100	100
fzf	98	98
port_cutleaves	96	96
aspell	95	95
sqlite3	94	94
tk	94	94
py-pip	91	91
mtr	91	91
zsh	91	91
emacs-app	90	90
neofetch	89	89
subversion	88	88
cctools	87	87
libtool	87	87
texlive-latex-extra	86	86
fd	85	85
py312-pip	84	84
gzip	83	83
bat	81	81
mc	81	81
texlive	81	81
tesseract-eng	81	81
nano	81	81
neovim	80	80
lzip	79	79
qemu	79	79
libsdl2	79	79
py313-pip	78	78
openssl3	78	78
boost	77	77
youtube-dl	77	77
pstree	76	76
xz	75	75
uv	75	75
python310	75	75
OpenBLAS	74	74
texinfo	74	74
libxml2	74	74
zstd	74	74
nasm	73	73
