port	total_count	req_count
wget	427	427
git	343	343
ffmpeg	325	325
cmake	291	291
coreutils	282	282
nmap	245	245
ImageMagick	243	243
htop	241	241
bash	240	240
yt-dlp	238	238
curl	223	223
rsync	207	207
jq	207	207
autoconf	205	205
automake	204	204
tree	186	186
go	184	184
gawk	180	180
pkgconfig	171	171
gnupg2	170	170
inetutils	165	165
exiftool	161	161
grep	160	160
unrar	159	159
tmux	154	154
pandoc	152	152
openssh	151	151
gmake	150	150
gsed	149	149
findutils	142	142
xorg-server	138	138
p7zip	137	137
dos2unix	135	135
rlwrap	134	134
ripgrep	134	134
bash-completion	130	130
smartmontools	127	127
vim	127	127
ninja	127	127
gh	125	125
graphviz	125	125
ghostscript	120	120
cargo	119	119
aspell-dict-en	116	116
rust	115	115
lynx	115	115
glib2	114	114
openssl	114	114
watch	112	112
emacs	111	111
poppler	111	111
bison	109	109
perl5	108	108
fzf	108	108
meson	107	107
iperf3	106	106
gnutar	106	106
python311	103	103
gnuplot	98	98
python313	98	98
sqlite3	97	97
tk	95	95
aspell	94	94
zsh	94	94
python312	93	93
port_cutleaves	89	89
mtr	89	89
subversion	88	88
emacs-app	88	88
cctools	87	87
python314	87	87
fd	86	86
gzip	86	86
tesseract-eng	85	85
texlive-latex-extra	84	84
neovim	84	84
nano	84	84
lzip	83	83
nasm	83	83
uv	83	83
libtool	83	83
py-pip	83	83
qemu	82	82
openssl3	82	82
bat	82	82
libsdl2	81	81
neofetch	80	80
texlive	79	79
mc	78	78
boost	77	77
pv	77	77
util-linux	77	77
tcl	77	77
py312-pip	76	76
texinfo	76	76
shellcheck	76	76
xz	76	76
zstd	75	75
pstree	74	74
youtube-dl	74	74
