port	total_count	req_count
wget	441	441
git	356	356
ffmpeg	344	344
cmake	298	298
coreutils	288	288
htop	253	253
ImageMagick	246	246
nmap	246	246
bash	242	242
yt-dlp	241	241
curl	222	222
jq	212	212
rsync	205	205
automake	203	203
autoconf	203	203
tree	186	186
gawk	184	184
go	175	175
pkgconfig	174	174
unrar	169	169
gnupg2	163	163
inetutils	162	162
tmux	161	161
exiftool	156	156
grep	155	155
gsed	152	152
pandoc	151	151
openssh	151	151
xorg-server	145	145
findutils	141	141
p7zip	140	140
gmake	140	140
dos2unix	138	138
rlwrap	136	136
vim	129	129
bash-completion	126	126
ninja	126	126
ripgrep	125	125
graphviz	123	123
gh	121	121
openssl	120	120
cargo	119	119
ghostscript	119	119
aspell-dict-en	115	115
smartmontools	114	114
lynx	113	113
rust	112	112
glib2	111	111
bison	109	109
python312	107	107
iperf3	107	107
gnutar	107	107
watch	105	105
sqlite3-tcl	105	105
gnuplot	105	105
poppler	103	103
perl5	103	103
emacs	102	102
python313	101	101
python311	101	101
fzf	99	99
port_cutleaves	97	97
zsh	97	97
meson	96	96
py-pip	95	95
aspell	95	95
sqlite3	94	94
tk	94	94
texlive	91	91
emacs-app	91	91
mtr	90	90
cctools	90	90
subversion	89	89
libtool	88	88
gzip	88	88
neofetch	86	86
youtube-dl	86	86
py312-pip	86	86
py313-pip	85	85
OpenBLAS	85	85
qemu	85	85
mc	82	82
lzip	80	80
tesseract-eng	80	80
texlive-latex-extra	79	79
texinfo	78	78
fd	78	78
openssl3	78	78
pstree	77	77
libsdl2	77	77
docker	77	77
bat	76	76
xz	76	76
nano	76	76
neovim	75	75
python39	75	75
py311-pip	75	75
nasm	74	74
boost	74	74
tcl	74	74
