port	total_count	req_count
wget	428	428
ffmpeg	339	339
git	339	339
cmake	286	286
coreutils	284	284
ImageMagick	248	248
nmap	248	248
htop	243	243
bash	242	242
yt-dlp	234	234
curl	219	219
automake	211	211
autoconf	210	210
jq	206	206
rsync	204	204
gawk	184	184
tree	176	176
go	175	175
pkgconfig	171	171
inetutils	166	166
gnupg2	161	161
unrar	161	161
exiftool	158	158
grep	156	156
openssh	150	150
tmux	150	150
gsed	149	149
pandoc	148	148
gmake	145	145
findutils	145	145
xorg-server	143	143
p7zip	139	139
rlwrap	136	136
bash-completion	135	135
dos2unix	134	134
ripgrep	132	132
vim	130	130
smartmontools	127	127
graphviz	125	125
ghostscript	124	124
openssl	118	118
gh	118	118
bison	117	117
ninja	117	117
aspell-dict-en	114	114
cargo	112	112
gnutar	112	112
poppler	110	110
glib2	110	110
iperf3	109	109
lynx	109	109
watch	107	107
emacs	106	106
perl5	106	106
sqlite3-tcl	105	105
python311	104	104
rust	104	104
fzf	101	101
python313	101	101
gnuplot	100	100
meson	99	99
python312	98	98
tk	97	97
sqlite3	95	95
aspell	94	94
port_cutleaves	93	93
emacs-app	92	92
mtr	91	91
py-pip	90	90
cctools	89	89
zsh	87	87
subversion	87	87
libtool	86	86
texlive-latex-extra	86	86
neofetch	85	85
fd	84	84
tesseract-eng	84	84
gzip	83	83
qemu	82	82
libsdl2	81	81
py312-pip	80	80
boost	80	80
mc	80	80
texlive	80	80
bat	80	80
neovim	79	79
openssl3	79	79
lzip	78	78
texinfo	77	77
nano	77	77
pstree	77	77
py313-pip	76	76
uv	76	76
OpenBLAS	75	75
tcl	75	75
libxml2	75	75
youtube-dl	74	74
python310	74	74
xz	74	74
zstd	74	74
