port	total_count	req_count
wget	442	442
git	359	359
ffmpeg	348	348
cmake	304	304
coreutils	286	286
htop	256	256
nmap	247	247
ImageMagick	246	246
bash	240	240
yt-dlp	237	237
curl	223	223
jq	216	216
rsync	207	207
automake	205	205
autoconf	205	205
gawk	187	187
tree	185	185
go	179	179
pkgconfig	176	176
unrar	168	168
gnupg2	164	164
tmux	163	163
inetutils	161	161
grep	158	158
exiftool	157	157
gsed	153	153
openssh	152	152
pandoc	148	148
xorg-server	146	146
findutils	144	144
p7zip	142	142
gmake	141	141
dos2unix	139	139
rlwrap	138	138
vim	130	130
bash-completion	128	128
ripgrep	127	127
ninja	125	125
ghostscript	125	125
graphviz	124	124
openssl	122	122
gh	121	121
cargo	121	121
aspell-dict-en	117	117
smartmontools	116	116
lynx	114	114
rust	112	112
bison	110	110
glib2	109	109
python312	108	108
iperf3	108	108
gnutar	107	107
emacs	107	107
sqlite3-tcl	106	106
gnuplot	106	106
watch	106	106
python311	104	104
poppler	104	104
perl5	103	103
fzf	103	103
python313	101	101
port_cutleaves	99	99
meson	97	97
zsh	97	97
aspell	96	96
tk	95	95
py-pip	95	95
sqlite3	95	95
mtr	93	93
emacs-app	92	92
cctools	91	91
subversion	90	90
texlive	90	90
py312-pip	90	90
libtool	90	90
neofetch	88	88
gzip	88	88
py313-pip	87	87
mc	85	85
youtube-dl	85	85
OpenBLAS	84	84
qemu	84	84
tesseract-eng	81	81
fd	81	81
lzip	80	80
libsdl2	79	79
openssl3	79	79
neovim	78	78
texinfo	78	78
texlive-latex-extra	78	78
python39	78	78
bat	78	78
xz	77	77
pstree	77	77
py311-pip	76	76
nano	76	76
boost	76	76
nasm	76	76
docker	76	76
tcl	75	75
