formula	count
openssl@3	356962
ca-certificates	347440
gh	210217
python@3.14	164060
uv	143856
ffmpeg	138889
node	135549
pcre2	128621
sqlite	126412
cmake	125845
pkgconf	125019
awscli	124464
glib	121901
go	120975
xz	119029
zstd	112728
harfbuzz	107569
fontconfig	102376
gmp	99296
simdjson	96273
little-cms2	95998
lz4	87429
ncurses	87255
gcc	82352
readline	82133
icu4c@78	80481
libtiff	78188
json-c	77879
protobuf	74111
mpdecimal	71386
libx11	66177
jpeg-turbo	66125
libffi	65271
libpng	65147
coreutils	65043
zlib-ng-compat	63614
expat	62020
x265	61259
abseil	57421
xcbeautify	56232
simdutf	55468
webp	55263
gnupg	54582
gettext	54401
libunistring	52769
openjdk	52122
jq	51388
libnghttp2	51285
git	49985
giflib	49650
freetype	48902
merve	47115
libvpx	46700
yt-dlp	46692
imagemagick	46348
oniguruma	46102
brotli	45926
libnghttp3	45468
libngtcp2	45427
llvm	44991
xorgproto	44850
yq	44663
dav1d	44340
fmt	44104
c-ares	43446
graphite2	43288
ripgrep	42867
mise	42505
libvmaf	42242
sdl3	41547
libgcrypt	41424
python@3.12	41023
libxext	40529
poppler	40278
tmux	40196
libxcb	39894
python@3.13	39892
gnutls	39500
libssh2	39378
pango	39351
rust	39104
p11-kit	38767
hello	38706
mpg123	38396
nss	37590
ruby	37271
krb5	37032
neovim	36648
libtool	36643
kubernetes-cli	36381
libheif	36215
llhttp	35658
ninja	35528
pipx	34493
sdl2-compat	33683
curl	33575
pnpm	33563
libxau	33483
libxdmcp	33430
cairo	33370
