formula	count
openssl@3	564799
xz	452325
ca-certificates	441137
sqlite	388308
python@3.14	357193
gh	318651
zstd	313444
node	291777
readline	258903
lz4	238874
libpng	237780
libnghttp2	235089
icu4c@78	226672
pcre2	203339
awscli	198285
ffmpeg	196484
glib	195624
libunistring	188692
libngtcp2	185997
mpdecimal	182989
simdjson	179321
harfbuzz	171066
gmp	164429
uv	162230
jpeg-turbo	161572
freetype	154608
gettext	152562
little-cms2	151826
expat	150468
cmake	150306
giflib	145949
simdutf	144867
llhttp	139879
ncurses	136927
git	136927
merve	134754
libtiff	134279
zlib-ng-compat	134123
go	132172
libx11	128779
pkgconf	127414
brotli	126356
python@3.13	123099
libvmaf	122336
coreutils	120566
libnghttp3	118928
libxext	117787
xorgproto	114736
libuv	110241
nbytes	109091
fontconfig	108131
c-ares	105358
gnupg	103299
x265	102895
gnutls	102285
libgpg-error	101310
fmt	101203
gemini-cli	98738
ada-url	96204
unbound	93012
m4	92566
libgcrypt	92270
libffi	92235
mise	92170
pixman	91396
libxcb	91210
libxau	90901
bzip2	88000
libxdmcp	87918
cairo	87702
dav1d	87690
ollama	87183
openexr	86709
libxrender	86600
libmpc	83272
xcbeautify	81898
jq	81493
hdrhistogram_c	81346
ripgrep	80002
llvm	79898
uvwasi	79565
krb5	79106
libedit	78591
gcc	77417
python@3.12	76115
lzo	75981
certifi	73140
unzip	72679
svt-av1	72536
opus	71201
libevent	71145
imagemagick	71085
pango	70989
libssh2	70969
aom	70686
graphite2	70455
libidn2	69581
poppler	68938
p11-kit	68890
curl	68174
