formula	count
ca-certificates	526346
openssl@3	435325
sqlite	367962
xz	339738
python@3.14	319773
zstd	260113
gh	249166
node	237561
readline	219615
lz4	200928
glib	192599
icu4c@78	191764
pcre2	188977
awscli	186283
uv	183106
fontconfig	174575
mpdecimal	162661
libunistring	159234
ffmpeg	158506
libpng	154370
harfbuzz	147549
libngtcp2	146500
libnghttp2	145867
cmake	145213
go	142493
gmp	142447
gettext	140206
jpeg-turbo	138353
gnutls	137209
little-cms2	136351
expat	134643
ncurses	130090
freetype	128039
libtiff	127643
libnghttp3	126748
libx11	125010
simdjson	123021
pkgconf	117014
llhttp	115441
zlib-ng-compat	110969
brotli	109932
libxext	105934
giflib	105717
gnupg	105102
git	104613
xorgproto	103250
aom	98596
llvm	98580
nettle	97990
fmt	96669
coreutils	95467
graphite2	93132
libvmaf	92606
simdutf	91620
libgpg-error	91530
c-ares	91254
imagemagick	90752
cairo	85745
libuv	85294
libxcb	85258
merve	84281
pixman	84029
libksba	81966
x265	81124
mise	81065
ada-url	80725
docker	80362
xcbeautify	80264
nbytes	79309
libxau	79288
libusb	78417
libomp	78292
libedit	78110
libxdmcp	77953
dav1d	77708
unbound	77612
pnpm	77121
m4	77047
gemini-cli	76837
libxrender	76248
certifi	76001
ruby	75477
openjph	74848
protobuf	74064
ripgrep	71695
openjdk	71362
pyenv	71189
libffi	70568
bzip2	70478
lzo	70247
python@3.13	70105
pipx	69162
jq	68142
tmux	68135
pango	67670
hdrhistogram_c	67431
krb5	66615
libssh2	66074
gcc	66048
poppler	65605
