formula	count
openssl@3	538018
xz	415846
sqlite	395825
ca-certificates	380676
zstd	380149
python@3.14	340021
readline	334312
node	301419
gh	274795
pcre2	258301
icu4c@78	243527
lz4	241467
awscli	226285
gettext	221938
ffmpeg	212487
go	205573
libpng	201038
mpdecimal	199978
uv	195119
python@3.13	192978
glib	192817
libnghttp3	174858
libngtcp2	173120
libnghttp2	170657
brotli	167861
libtiff	162852
cmake	156088
ncurses	155457
libx11	153566
libuv	152758
little-cms2	152162
gmp	150889
harfbuzz	150687
libunistring	149465
expat	149338
pkgconf	148891
libxext	148196
freetype	141241
llhttp	139135
c-ares	136063
fmt	135372
ada-url	135093
xorgproto	132950
zlib	132390
gcc	131886
gemini-cli	131106
jpeg-turbo	129401
m4	121858
simdjson	120571
git	120206
hdrhistogram_c	118576
gnutls	109881
svt-av1	109015
dav1d	105493
uvwasi	104461
p11-kit	103137
zlib-ng-compat	102620
bzip2	102033
coreutils	101774
krb5	101098
fontconfig	99556
libffi	97128
libxcb	93678
libxau	93230
openexr	92046
libssh2	91146
protobuf	90271
libxdmcp	90108
libedit	87996
libgcrypt	87876
pango	86198
libvpx	85916
opus	85579
libxrender	84702
openjph	83975
unzip	83724
berkeley-db@5	82934
curl	81338
pixman	81020
jpeg-xl	80653
binutils	77275
abseil	77238
xcbeautify	75983
cairo	75875
libgpg-error	75612
mise	74405
yt-dlp	72579
python@3.12	71994
gnupg	70380
x265	69502
libtasn1	69303
mpfr	68842
sdl2	68626
libxml2	68395
giflib	68282
openjdk	67681
certifi	67440
libtool	67325
libthai	65992
node@22	65990
