formula	count
ca-certificates	476961
openssl@3	465416
sqlite	418084
xz	416151
zstd	374707
node	356162
gh	339152
readline	311761
icu4c@78	290217
lz4	255450
python@3.14	245009
libunistring	244444
harfbuzz	243502
pcre2	236802
libnghttp2	233245
glib	231248
awscli	210783
freetype	207059
mpdecimal	206385
uv	203622
libngtcp2	203255
simdjson	199120
gettext	190170
libpng	185742
libuv	183658
ffmpeg	179597
brotli	175062
jpeg-turbo	170716
cmake	164156
gmp	163350
expat	160121
go	157455
libnghttp3	153505
pkgconf	152648
libtiff	152615
ncurses	151983
libx11	151913
zlib-ng-compat	151488
ada-url	141679
git	139646
little-cms2	135939
libxext	133390
c-ares	132485
giflib	131549
xorgproto	130387
gemini-cli	122425
fmt	120408
openexr	115216
m4	111214
fontconfig	110677
gnupg	110098
llhttp	104651
libffi	104412
uvwasi	104260
bzip2	102575
python@3.13	102356
hdrhistogram_c	101561
libxcb	99338
libxau	98792
dav1d	96256
libxdmcp	95735
gcc	95582
libedit	92578
gnutls	92512
libxrender	91853
pixman	91707
coreutils	91558
svt-av1	91139
pango	90204
krb5	89331
imagemagick	87942
protobuf	87921
cairo	87263
mise	86626
unzip	86493
deno	85987
berkeley-db@5	85456
yt-dlp	84886
p11-kit	82565
libssh2	82223
libgpg-error	81441
xcbeautify	80948
poppler	80657
libgcrypt	78846
aom	78741
libvpx	78469
libmpc	78459
opus	77518
pipx	77234
jq	77172
libtasn1	76323
curl	75298
libevent	74617
libidn2	74189
unbound	73930
lzo	73533
sdl2	71901
libxcrypt	71879
certifi	71515
x265	70291
