formula	count
openssl@3	516897
zstd	417544
xz	410815
ca-certificates	380373
sqlite	366346
gh	348572
node	345570
readline	325280
python@3.14	270704
pcre2	261971
lz4	251496
awscli	233496
icu4c@78	231506
libunistring	221283
glib	217107
mpdecimal	204098
libuv	202758
gettext	202413
uv	198360
libngtcp2	195640
go	192830
ffmpeg	191165
libpng	190991
freetype	190792
libnghttp2	175356
brotli	169881
libx11	168784
libtiff	168640
zlib-ng-compat	167130
harfbuzz	163886
gmp	162661
libnghttp3	158832
simdjson	155692
ncurses	153365
pkgconf	152205
expat	142227
git	139447
little-cms2	139408
ada-url	138813
libxext	138560
c-ares	137128
llhttp	135930
gemini-cli	134248
xorgproto	132327
m4	129569
gcc	128701
jpeg-turbo	128612
fmt	128477
cmake	128360
python@3.13	124570
gnutls	115617
openexr	115400
hdrhistogram_c	108251
uvwasi	106736
bzip2	105421
fontconfig	103545
libffi	102289
dav1d	98918
libxcb	97294
libxau	97044
libvpx	96756
coreutils	94872
jpeg-xl	94761
libxdmcp	93587
openjph	93469
libgpg-error	90968
libgcrypt	90283
libedit	89536
p11-kit	89428
libxrender	88631
krb5	88389
unzip	87218
libssh2	86719
pixman	85333
protobuf	85277
certifi	84790
berkeley-db@5	84347
cairo	80802
imagemagick	79919
mise	79623
xcbeautify	79336
opus	79030
zlib	78647
gnupg	76883
svt-av1	76378
abseil	74812
node@22	74463
pyenv	73532
pango	72292
libtasn1	71997
giflib	71875
libxml2	70951
llvm	70485
deno	70115
binutils	69615
x265	69363
poppler	69282
sdl2	69157
unbound	68510
libtool	68467
