formula	count
openssl@3	538538
ca-certificates	425635
sqlite	286268
gh	274079
node	269688
libcap	262459
python@3.14	252547
bubblewrap	239850
glib	212516
xz	209952
zstd	193302
awscli	188348
ffmpeg	187677
fontconfig	179247
uv	178351
libffi	174621
pkgconf	169589
libtiff	160838
cmake	156468
readline	154717
jpeg-turbo	153413
pcre2	151625
lz4	143309
icu4c@78	143039
git	140453
gmp	134589
json-c	130336
mpdecimal	124120
libngtcp2	119203
libnghttp3	116729
c-ares	115990
ncurses	112300
go	111439
libx11	110404
libpng	108842
fmt	107947
harfbuzz	107190
gettext	105392
libunistring	102987
little-cms2	101699
expat	101423
zlib-ng-compat	101252
jq	98130
libvmaf	95496
gcc	95174
poppler	92036
llhttp	89569
gnupg	88937
ripgrep	88533
pango	87045
python@3.13	86793
sdl3	86443
freetype	85137
tmux	84204
giflib	83983
libssh2	82981
hdrhistogram_c	82629
graphite2	82046
dav1d	80499
xorgproto	78768
webp	78679
libxext	78672
coreutils	77560
brotli	76693
luajit	74271
protobuf	73412
p11-kit	73186
libnghttp2	72020
llvm	71537
lame	71427
deno	71311
imagemagick	71022
pnpm	69042
libxcb	67878
libevent	67583
pipx	66533
curl	66529
gnutls	66014
z3	65601
docker	65565
gpgme	65178
sdl2-compat	65003
cairo	64647
mise	63486
xcbeautify	63249
just	62794
oniguruma	60832
libtool	60580
pixman	60477
fzf	59991
yt-dlp	58166
svt-av1	58061
libxau	57594
gdk-pixbuf	57579
x265	57290
pyenv	56876
krb5	56629
isl	56338
python@3.12	55971
libxdmcp	55757
