formula	count
ca-certificates	545573
openssl@3	527823
node	292048
sqlite	280282
python@3.14	273483
gh	268938
glib	236420
uv	233061
libcap	215777
awscli	213267
pkgconf	211190
fontconfig	193444
ffmpeg	192896
bubblewrap	185472
xz	185131
cmake	170225
zstd	169756
harfbuzz	158966
pcre2	145019
libffi	140004
readline	135482
json-c	134314
ncurses	132845
icu4c@78	129571
lz4	129455
libtiff	128090
gmp	126734
go	125796
mpdecimal	119687
simdjson	114663
jpeg-turbo	111008
poppler	110113
libx11	106834
libnghttp2	106454
libnghttp3	106082
libngtcp2	105002
zlib-ng-compat	102592
expat	99106
ripgrep	96297
libpng	95666
llhttp	92854
pipx	91635
libssh2	91132
webp	91093
git	90067
gettext	89216
little-cms2	87708
libunistring	84270
gcc	82023
z3	81745
giflib	80979
p11-kit	80746
pango	79862
jq	79407
mpg123	79083
sdl3	78149
c-ares	77834
protobuf	76567
python@3.13	75879
mise	75353
dav1d	74435
freetype	74316
coreutils	73264
ada-url	72467
xorgproto	72273
fzf	72061
fmt	71700
libtool	71343
llvm	70633
graphite2	69749
libvmaf	69190
brotli	68918
imagemagick	68910
openjdk	68408
pnpm	66308
libpsl	65292
libxext	64566
luajit	64565
certifi	64213
tesseract	64048
libxcb	63160
abseil	62804
python@3.12	62728
oniguruma	62036
docker	61430
xcbeautify	61233
gnupg	60056
ollama	58493
deno	58219
pyenv	57536
gnutls	56878
libgit2	56819
nss	56254
krb5	54475
binutils	53969
libxau	53165
just	53027
cairo	52975
libxdmcp	52871
svt-av1	52869
