formula	count
openssl@3	553844
ca-certificates	435555
sqlite	283795
gh	266754
libcap	257207
node	255304
python@3.14	242995
bubblewrap	234278
glib	213840
xz	200818
awscli	192143
pkgconf	189377
zstd	185061
uv	184189
ffmpeg	183309
fontconfig	177770
libffi	163931
libtiff	160796
cmake	152428
jpeg-turbo	152162
readline	149712
pcre2	148121
json-c	144482
git	141460
icu4c@78	138395
lz4	137332
gmp	132492
mpdecimal	120895
c-ares	116755
libngtcp2	115744
libnghttp3	114201
go	112571
ncurses	112477
libx11	108274
libpng	104530
harfbuzz	102351
gettext	101771
expat	99951
libunistring	98515
poppler	98439
fmt	98243
zlib-ng-compat	97760
little-cms2	97028
ripgrep	92520
gcc	89569
jq	88902
gnupg	87983
libvmaf	86814
pango	86689
tmux	84031
libssh2	83994
giflib	82679
hdrhistogram_c	82659
sdl3	82387
python@3.13	81948
webp	81796
freetype	81622
dav1d	81596
llhttp	81168
deno	79054
graphite2	78506
coreutils	77047
luajit	76953
xorgproto	76342
libxext	75241
brotli	74065
p11-kit	73538
lame	72724
pipx	70393
libnghttp2	69324
libevent	69192
pnpm	68971
z3	67690
llvm	67341
protobuf	67140
libxcb	65682
docker	64535
gpgme	64252
libtool	63577
gnutls	63426
mise	62546
fzf	62434
cairo	61575
just	61069
imagemagick	60933
xcbeautify	59662
sdl2-compat	59576
svt-av1	59365
curl	59049
oniguruma	58839
yt-dlp	57935
pixman	57646
certifi	57263
isl	56582
gdk-pixbuf	56437
libxau	55795
x265	55631
krb5	55457
libxdmcp	54085
python@3.12	54039
