formula	count
openssl@3	564463
xz	417655
zstd	404763
sqlite	397545
ca-certificates	382398
readline	333149
python@3.14	317678
node	310314
gh	304521
pcre2	270910
lz4	244923
icu4c@78	239246
awscli	237415
gettext	231600
ffmpeg	213053
libpng	204117
go	203945
glib	202452
uv	202325
mpdecimal	201746
python@3.13	179884
libtiff	172116
libngtcp2	170415
libnghttp2	170399
libunistring	169921
brotli	167118
libnghttp3	165065
libx11	164765
libuv	159601
libxext	158293
ncurses	156671
gmp	155398
ada-url	155249
expat	152465
freetype	150018
pkgconf	149403
llhttp	146880
cmake	143771
little-cms2	143299
fmt	141025
simdjson	137674
gcc	135861
xorgproto	134737
gemini-cli	134129
c-ares	134059
m4	130370
jpeg-turbo	130315
harfbuzz	130175
zlib-ng-compat	126224
git	125045
hdrhistogram_c	123423
zlib	120849
gnutls	115871
coreutils	105525
dav1d	104492
krb5	104082
bzip2	103963
uvwasi	103182
p11-kit	102196
fontconfig	101853
openexr	100604
libffi	99190
libxcb	96569
libgcrypt	96374
libxau	95972
libssh2	95969
svt-av1	95845
libxdmcp	92754
pango	90257
libvpx	90074
libedit	89666
protobuf	89107
openjph	88608
libxrender	86699
jpeg-xl	85949
unzip	85615
berkeley-db@5	84558
pixman	83123
opus	82230
libgpg-error	81893
curl	81861
binutils	78624
cairo	78136
xcbeautify	77489
abseil	76902
yt-dlp	76451
mise	76293
libthai	74800
certifi	74519
libdatrie	74518
gnupg	72846
giflib	70110
libtasn1	70034
x265	69754
libxml2	69571
yq	69219
mpfr	68846
libtool	68524
sdl2	67962
tree	67683
