formula	count
ca-certificates	472498
openssl@3	468931
sqlite	418206
xz	404038
zstd	376385
node	354915
gh	339606
readline	313000
icu4c@78	288824
lz4	255030
libunistring	246186
python@3.14	245260
pcre2	237914
harfbuzz	232660
libnghttp2	231276
glib	231238
freetype	211926
awscli	209358
mpdecimal	206763
libngtcp2	203328
simdjson	200150
uv	199397
gettext	190880
libuv	184509
libpng	183403
ffmpeg	179803
brotli	175294
jpeg-turbo	167428
gmp	163538
cmake	163089
expat	159667
go	158424
libnghttp3	154188
pkgconf	153127
libtiff	153106
libx11	152574
zlib-ng-compat	152443
ncurses	151846
ada-url	142135
git	139103
little-cms2	136361
libxext	133857
c-ares	133360
xorgproto	130916
giflib	129914
fmt	121251
gemini-cli	120605
openexr	118652
m4	112270
fontconfig	110571
gnupg	109386
llhttp	105492
uvwasi	104779
python@3.13	104547
libffi	104377
bzip2	102593
hdrhistogram_c	102210
libxcb	99691
libxau	99030
gcc	96445
dav1d	96258
libxdmcp	96034
gnutls	92750
libedit	92390
coreutils	92108
libxrender	91925
pixman	91644
svt-av1	90707
protobuf	90611
pango	89551
krb5	89224
imagemagick	88969
cairo	87170
unzip	86626
mise	86115
berkeley-db@5	85633
yt-dlp	84333
deno	83010
p11-kit	82600
libssh2	82161
libgpg-error	81802
xcbeautify	80701
libgcrypt	79243
libvpx	78951
libmpc	77886
opus	77815
aom	77588
poppler	76768
jq	76282
libtasn1	76241
pipx	75208
curl	75148
libevent	74212
libidn2	73877
unbound	73846
lzo	73355
certifi	72941
sdl2	71996
libxcrypt	71757
node@22	70779
