formula	count
openssl@3	512565
ca-certificates	508987
xz	485185
sqlite	402925
zstd	340174
node	335384
gh	294726
python@3.14	289476
readline	282843
icu4c@78	272743
lz4	246968
libpng	244700
libnghttp2	231938
pcre2	216728
libunistring	213574
libngtcp2	212149
simdjson	204504
glib	199315
jpeg-turbo	197365
harfbuzz	193981
mpdecimal	192117
freetype	189273
awscli	187905
uv	186494
gettext	170442
ffmpeg	163963
cmake	161733
gmp	160104
brotli	150583
expat	149397
ncurses	146347
go	143449
libtiff	140477
giflib	140386
zlib-ng-compat	139701
libx11	138350
git	137911
pkgconf	136032
libnghttp3	135977
ada-url	134196
libuv	132580
libxext	123126
little-cms2	121405
xorgproto	120819
gemini-cli	118478
openexr	115811
c-ares	115546
fmt	108563
fontconfig	107750
aom	106959
python@3.13	104522
llhttp	102231
libffi	99045
libvmaf	97587
m4	97082
bzip2	95193
svt-av1	94655
libxcb	93732
mise	93564
libxau	93161
dav1d	92066
pango	91141
hdrhistogram_c	90748
libxdmcp	90375
uvwasi	90321
gnupg	89731
pixman	89337
libmpc	88161
coreutils	87624
libxrender	87452
libedit	86673
krb5	85805
libgcrypt	85515
cairo	85458
gnutls	83789
gcc	83770
poppler	83538
autoconf	82680
jq	82070
ollama	82037
unzip	79760
berkeley-db@5	79296
libssh2	78348
protobuf	78070
pipx	76653
p11-kit	75087
libevent	74698
xcbeautify	74593
libgpg-error	74456
opus	73840
libidn2	73385
libvpx	72867
lzo	72716
imagemagick	72161
libtasn1	71172
libomp	70220
ripgrep	69711
unbound	69150
sdl2	68892
util-linux	68773
