formula	count
openssl@3	534615
xz	505469
ca-certificates	500187
sqlite	404330
zstd	340189
node	334737
gh	315241
python@3.14	300919
readline	281963
icu4c@78	260729
libpng	259574
lz4	249351
libnghttp2	242653
libngtcp2	219699
pcre2	216032
libunistring	211048
simdjson	206147
jpeg-turbo	203490
harfbuzz	202921
awscli	196947
mpdecimal	193059
freetype	189334
glib	188860
uv	175871
ffmpeg	173549
gettext	169247
cmake	165254
gmp	164046
ncurses	147590
brotli	145657
git	145509
expat	145144
giflib	143403
go	142796
zlib-ng-compat	140772
libtiff	140282
libx11	136534
pkgconf	136118
libnghttp3	132895
ada-url	132208
libuv	127425
libxext	122565
xorgproto	119935
little-cms2	119642
gemini-cli	119109
openexr	115307
c-ares	113499
libvmaf	111218
fontconfig	108425
fmt	107452
python@3.13	104311
llhttp	104040
coreutils	103417
libffi	98964
m4	96932
aom	96106
bzip2	95386
mise	93927
libxcb	93143
libxau	92473
dav1d	91467
libgcrypt	90258
pixman	90110
libxdmcp	89566
gnupg	89107
hdrhistogram_c	88922
svt-av1	88116
uvwasi	88026
libxrender	87363
libedit	86605
krb5	86283
cairo	86213
libmpc	86138
jq	86065
ollama	85724
pango	84394
simdutf	84033
gnutls	83493
x265	83391
poppler	83296
gcc	82301
xcbeautify	80879
unzip	79763
berkeley-db@5	77960
libssh2	77650
libevent	75855
libgpg-error	75072
p11-kit	74874
libomp	74632
ripgrep	73892
lzo	73615
libidn2	73512
neovim	73434
imagemagick	72882
autoconf	72825
opus	72723
libvpx	71312
libtasn1	71020
unbound	69315
protobuf	69156
