formula	count
openssl@3	442128
ca-certificates	410928
sqlite	342807
python@3.14	321321
gh	304452
node	286520
xz	245436
zstd	215246
libcap	211436
glib	204838
bubblewrap	192484
readline	177530
fontconfig	177381
awscli	175912
ffmpeg	175091
pcre2	165042
uv	161360
libffi	161325
icu4c@78	160511
lz4	159437
cmake	149234
jpeg-turbo	137465
mpdecimal	137215
harfbuzz	136466
libngtcp2	133647
gmp	133229
libtiff	130853
libnghttp3	128688
libpng	122202
libunistring	120985
gettext	118570
libx11	117848
little-cms2	117800
ncurses	116308
git	116133
fmt	114479
gcc	112849
llhttp	111842
libvmaf	108092
pkgconf	107209
expat	106230
graphite2	106103
zlib-ng-compat	102960
go	98605
freetype	97185
jq	96720
poppler	96539
llvm	96230
libxext	89689
xorgproto	86044
brotli	85630
python@3.13	82611
libnghttp2	82603
protobuf	82187
giflib	82135
pango	81927
gnupg	80133
tmux	79127
gnutls	77940
coreutils	76454
openjph	76377
openexr	75861
cairo	74954
libxcb	74665
pipx	73275
python@3.12	72886
imagemagick	72038
certifi	71819
hdrhistogram_c	71356
c-ares	71332
gdk-pixbuf	71021
pixman	68705
sdl3	68516
xcbeautify	67744
z3	66576
deno	65783
ollama	65693
x265	64500
dav1d	63615
docker	63251
gpgme	63179
libxau	62776
curl	62743
mise	61706
oniguruma	61584
libomp	61537
libxdmcp	61208
pnpm	60878
ripgrep	60456
libuv	60228
libxrender	59861
yt-dlp	58920
nettle	58482
simdjson	58155
krb5	58017
just	57876
luajit	56761
binutils	56741
m4	56467
simdutf	56300
