formula	count
openssl@3	462167
ca-certificates	411020
sqlite	334271
python@3.14	324464
gh	316085
node	289372
xz	247338
libcap	228808
zstd	219255
bubblewrap	209031
glib	208886
ffmpeg	190315
awscli	181122
readline	178763
fontconfig	172693
libffi	167244
uv	167123
pcre2	165672
lz4	162427
icu4c@78	161649
cmake	149388
jpeg-turbo	145561
libtiff	144069
mpdecimal	138649
gmp	137946
libngtcp2	133202
harfbuzz	132988
libnghttp3	128123
libpng	122743
git	121000
libunistring	120898
gettext	119141
libx11	118724
little-cms2	118637
ncurses	117600
fmt	117036
gcc	115974
llhttp	113339
libvmaf	109967
expat	108314
pkgconf	107922
zlib-ng-compat	105940
graphite2	103264
poppler	101921
jq	101289
freetype	97701
llvm	95894
go	95739
libxext	90331
python@3.13	87912
xorgproto	87045
brotli	86308
gnupg	85973
protobuf	84464
pango	83739
c-ares	82947
giflib	82788
libnghttp2	82567
tmux	81238
coreutils	80049
gnutls	77887
openexr	75804
libxcb	75241
cairo	75196
sdl3	74963
hdrhistogram_c	74791
imagemagick	74027
python@3.12	73352
gdk-pixbuf	72592
xcbeautify	71820
certifi	71646
openjph	71138
pipx	70069
z3	69637
pixman	69335
gpgme	65271
deno	64962
curl	64658
yt-dlp	64572
mise	64293
x265	64174
libxau	63606
oniguruma	63368
dav1d	63311
docker	62882
pnpm	62587
libxdmcp	61832
ollama	61428
libuv	60448
libxrender	60417
ripgrep	60148
libomp	60011
just	59768
sdl2-compat	59716
luajit	59246
krb5	59223
nettle	58594
binutils	58475
simdjson	57917
m4	56813
