formula	count
ca-certificates	514477
openssl@3	491662
xz	468313
sqlite	414552
zstd	351354
node	336847
icu4c@78	295277
readline	292606
gh	290579
python@3.14	275906
lz4	250502
libnghttp2	241802
glib	225143
libunistring	223645
pcre2	223064
simdjson	220719
harfbuzz	220438
libpng	215773
uv	197791
libngtcp2	197373
mpdecimal	197332
awscli	195104
freetype	191741
jpeg-turbo	190661
ffmpeg	179015
gettext	177411
cmake	171425
brotli	160241
gmp	159874
expat	158333
ncurses	149214
libuv	145109
go	144954
libtiff	144161
zlib-ng-compat	143286
libx11	142641
libnghttp3	142360
pkgconf	140712
git	138345
giflib	137177
ada-url	136797
little-cms2	126522
libxext	126484
xorgproto	124068
c-ares	120568
openexr	115994
gemini-cli	114446
fmt	111826
fontconfig	108120
aom	105738
python@3.13	105529
llhttp	102017
m4	101840
libffi	100215
gnupg	100110
bzip2	98270
libxcb	95461
uvwasi	94915
libxau	94850
hdrhistogram_c	94817
svt-av1	94087
dav1d	93786
libxdmcp	92156
pango	91078
libedit	89597
pixman	89553
gcc	88744
libxrender	88599
pipx	88100
mise	87938
coreutils	87820
krb5	87142
gnutls	86907
cairo	85606
poppler	83664
libmpc	83588
unzip	82383
berkeley-db@5	81976
jq	81507
libvmaf	81018
protobuf	80548
libssh2	80238
ollama	79284
p11-kit	77969
libgpg-error	77184
autoconf	76922
deno	76721
imagemagick	76607
xcbeautify	75869
libevent	75131
libvpx	74619
opus	74550
libgcrypt	74406
libidn2	73929
libtasn1	73334
lzo	72674
libomp	71776
unbound	70952
yt-dlp	70292
sdl2	70042
