formula	count
openssl@3	551764
ca-certificates	435028
sqlite	283014
gh	270029
node	264676
libcap	261311
python@3.14	247243
bubblewrap	238356
glib	214513
xz	205366
awscli	191556
zstd	189317
pkgconf	186411
uv	184114
ffmpeg	184102
fontconfig	179070
libffi	167434
libtiff	161674
cmake	154115
jpeg-turbo	153338
readline	152210
pcre2	150006
git	141776
icu4c@78	140836
json-c	140606
lz4	140529
gmp	134939
mpdecimal	122903
libngtcp2	117207
c-ares	116892
libnghttp3	115348
ncurses	113427
go	112001
libx11	109985
libpng	106679
harfbuzz	104678
gettext	103428
fmt	101391
expat	101025
libunistring	100409
zlib-ng-compat	100113
little-cms2	99073
poppler	97063
jq	92620
gcc	91823
ripgrep	91493
libvmaf	89399
gnupg	88731
pango	87362
tmux	84071
libssh2	84001
llhttp	83858
giflib	83668
python@3.13	83591
sdl3	83521
freetype	83406
hdrhistogram_c	82769
webp	81597
dav1d	81557
graphite2	80254
coreutils	78623
xorgproto	77896
libxext	77041
deno	76990
luajit	75326
brotli	75320
p11-kit	73678
lame	72333
libnghttp2	70426
pipx	70186
pnpm	70091
protobuf	69570
libevent	68792
llvm	68353
z3	67957
libxcb	67021
curl	65832
docker	65368
gpgme	64772
gnutls	64586
libtool	63211
mise	63100
cairo	63072
imagemagick	63023
xcbeautify	62154
fzf	61944
just	61327
sdl2-compat	61111
oniguruma	60150
pixman	59101
svt-av1	58962
yt-dlp	57730
gdk-pixbuf	57390
libxau	56976
isl	56874
x265	56313
krb5	56189
libxdmcp	55122
certifi	54968
pyenv	54718
