formula	count
openssl@3	534532
ca-certificates	499537
node	302446
sqlite	278347
gh	270572
libcap	266777
pkgconf	247932
bubblewrap	235554
python@3.14	224900
glib	222587
uv	214403
awscli	207509
fontconfig	195629
xz	181123
cmake	177022
zstd	165837
ffmpeg	154938
json-c	146295
pcre2	143566
libffi	142282
readline	133488
libtiff	129348
icu4c@78	127323
harfbuzz	125427
gmp	125342
lz4	124921
ncurses	124484
mpdecimal	117031
jpeg-turbo	114189
poppler	111082
ripgrep	111026
go	110821
libnghttp3	106742
libngtcp2	105900
libx11	105728
zlib-ng-compat	101483
git	101463
libssh2	100897
libnghttp2	97838
libpng	94494
llhttp	93095
webp	92616
gettext	90371
c-ares	87963
p11-kit	87184
simdjson	86612
dav1d	86358
little-cms2	85913
pipx	85834
expat	85741
libunistring	85584
giflib	81231
gcc	80796
jq	80388
z3	77202
libtool	77042
mpg123	76845
python@3.13	76572
fmt	76409
luajit	76235
pango	74773
sdl3	73945
pnpm	73875
coreutils	73358
freetype	73321
xorgproto	72104
fzf	70344
mise	69988
ada-url	69743
libvmaf	69722
graphite2	69700
docker	69546
lame	67833
brotli	67613
imagemagick	66290
deno	65487
libxext	65390
protobuf	65076
gnupg	65050
openjdk	64835
svt-av1	64132
certifi	63637
llvm	62785
libxcb	62415
pyenv	59190
oniguruma	57974
xcbeautify	57958
gnutls	57610
tesseract	56688
hdrhistogram_c	54036
libpsl	53859
ruby	53372
krb5	53123
cairo	53096
libxau	52594
just	52492
libxdmcp	51948
x265	51922
ollama	51599
binutils	51461
