formula	count
ca-certificates	507819
openssl@3	482360
xz	460680
sqlite	409633
zstd	350267
node	340061
gh	293865
icu4c@78	293343
readline	292271
python@3.14	269372
lz4	249192
libnghttp2	239958
simdjson	225286
glib	224380
harfbuzz	224119
libunistring	223891
pcre2	222607
libpng	207682
uv	201083
libngtcp2	197137
mpdecimal	196713
awscli	193478
freetype	190565
jpeg-turbo	187988
ffmpeg	178545
gettext	177171
cmake	170211
brotli	160824
gmp	158084
expat	157614
ncurses	148387
libuv	146916
go	144174
libtiff	143582
libnghttp3	142471
zlib-ng-compat	142245
libx11	142243
pkgconf	140724
giflib	140413
git	138345
ada-url	136798
little-cms2	126328
libxext	125847
xorgproto	123577
c-ares	120745
openexr	116417
gemini-cli	115614
fmt	111776
fontconfig	107311
aom	104176
python@3.13	103210
gnupg	102161
m4	101594
llhttp	101508
libffi	99643
bzip2	97713
uvwasi	95199
libxcb	94880
hdrhistogram_c	94698
libxau	94367
dav1d	93829
svt-av1	93742
libxdmcp	91653
pango	90551
libedit	89046
pixman	88919
gcc	88882
libxrender	88115
pipx	87190
krb5	86750
gnutls	86673
mise	86514
coreutils	85885
cairo	84888
libmpc	83013
poppler	82930
unzip	82016
berkeley-db@5	81561
protobuf	80608
jq	80359
libssh2	80202
ollama	78375
p11-kit	77712
libvmaf	77410
libgpg-error	76934
deno	76753
autoconf	75355
libvpx	74724
libevent	74645
opus	74598
libgcrypt	74166
yt-dlp	74024
xcbeautify	73628
libidn2	73468
libtasn1	73024
imagemagick	72636
lzo	71976
libomp	71785
unbound	70683
sdl2	70035
