formula	count
ca-certificates	522417
openssl@3	501806
xz	476514
sqlite	417726
zstd	353252
node	341416
icu4c@78	297497
readline	293797
gh	288690
python@3.14	281224
lz4	252330
libnghttp2	243865
glib	226160
libunistring	224094
pcre2	223782
libpng	220917
harfbuzz	219427
simdjson	216607
awscli	201169
mpdecimal	198614
libngtcp2	197938
uv	196296
jpeg-turbo	193421
freetype	193034
ffmpeg	179447
gettext	178156
cmake	172591
gmp	162530
brotli	159787
expat	159381
ncurses	150369
go	145858
libtiff	144971
zlib-ng-compat	144405
libuv	143535
libx11	143131
giflib	142768
libnghttp3	142417
pkgconf	141453
git	138606
ada-url	137219
little-cms2	127123
libxext	127073
xorgproto	124743
c-ares	120370
openexr	118288
gemini-cli	113486
fmt	112198
fontconfig	109118
python@3.13	107429
aom	107213
llhttp	102703
m4	102456
libffi	100975
gnupg	99445
bzip2	98801
libxcb	95952
libxau	95361
hdrhistogram_c	94812
uvwasi	94636
svt-av1	94249
dav1d	93816
libxdmcp	92538
pango	91732
pixman	90526
coreutils	90485
libedit	90250
mise	89615
libxrender	89277
pipx	89039
gcc	88412
krb5	87732
gnutls	87368
cairo	86554
libvmaf	84373
libmpc	84155
poppler	84055
unzip	82924
jq	82727
berkeley-db@5	82262
protobuf	80985
libssh2	80688
ollama	80345
imagemagick	79576
xcbeautify	78780
autoconf	78668
p11-kit	78495
libgpg-error	77754
deno	76530
libevent	76127
libgcrypt	74909
libidn2	74476
opus	74346
libvpx	74323
libtasn1	73808
lzo	73464
libomp	71744
unbound	71535
util-linux	69977
sdl2	69859
