formula	count
ca-certificates	512219
openssl@3	419036
sqlite	353567
xz	306326
python@3.14	298751
gh	269654
zstd	238548
node	226672
fontconfig	201593
readline	201563
awscli	194494
glib	182417
icu4c@78	181688
pcre2	180937
lz4	180737
uv	167297
harfbuzz	156671
mpdecimal	151889
cmake	147686
ffmpeg	146652
libunistring	144014
libngtcp2	142420
libpng	142397
gmp	135339
gettext	132812
little-cms2	131973
ncurses	128364
jpeg-turbo	128118
libnghttp3	127478
go	125707
libx11	123822
libtiff	123362
gnutls	117632
expat	115734
libnghttp2	115696
freetype	115536
pkgconf	111931
graphite2	108160
zlib-ng-compat	103895
llvm	103287
brotli	100285
libxext	99720
git	97744
giflib	96484
xorgproto	96094
llhttp	95730
aom	92344
gnupg	91889
fmt	90795
imagemagick	90778
coreutils	90150
libffi	89936
libvmaf	85389
simdjson	84790
c-ares	83067
cairo	82526
libxcb	80518
libusb	78854
nettle	78553
simdutf	77852
pixman	77814
protobuf	77661
poppler	77231
xcbeautify	76397
x265	74877
libuv	74855
openjdk	74799
mise	74260
docker	73839
certifi	73650
dav1d	72870
ada-url	72580
gemini-cli	72500
libxau	71793
libomp	71478
pnpm	70879
merve	70799
libxdmcp	70655
tmux	70568
deno	70452
libgpg-error	69503
ripgrep	69450
libxrender	69424
m4	68463
nbytes	67795
yt-dlp	67083
pango	65809
gcc	64980
libheif	64388
jq	64281
openjph	64174
ruby	63847
lzo	63665
python@3.12	63558
pipx	63438
librsvg	63180
ollama	62835
fzf	62741
python@3.13	62306
bzip2	62300
