formula	count
ca-certificates	468168
openssl@3	413447
python@3.14	328652
sqlite	327306
gh	313589
xz	278255
node	246770
zstd	227325
fontconfig	212505
awscli	202054
readline	187570
glib	177839
pcre2	176788
icu4c@78	173224
ffmpeg	168575
uv	168537
lz4	168035
cmake	167401
harfbuzz	160639
mpdecimal	146782
gmp	136612
libngtcp2	135654
libpng	133667
libunistring	130928
libffi	129249
little-cms2	129158
gettext	127537
libcap	127502
ncurses	126949
libx11	125122
libnghttp3	124932
go	121018
jpeg-turbo	120884
libtiff	120502
graphite2	120308
bubblewrap	110634
pkgconf	110400
freetype	105186
llvm	103606
expat	103286
llhttp	102945
zlib-ng-compat	102267
fmt	99690
gcc	99452
libvmaf	98485
libxext	95379
gnutls	94618
libnghttp2	92403
brotli	91381
xorgproto	91322
giflib	89056
coreutils	86976
imagemagick	85955
poppler	85930
jq	85577
protobuf	85154
git	83669
openexr	82255
python@3.13	80540
cairo	79778
xcbeautify	79368
gnupg	79000
certifi	78710
libxcb	78146
c-ares	76163
openjph	75407
libomp	74467
pipx	73652
pixman	72447
python@3.12	71233
pnpm	71023
mise	69269
x265	68949
dav1d	67409
nettle	67264
ollama	66894
deno	66396
simdjson	66298
libxau	65855
ripgrep	65575
aom	65378
libuv	65073
libxdmcp	64964
pyenv	64414
oniguruma	63748
libxrender	63327
pango	63301
libgpg-error	62140
m4	61957
openjdk	60750
krb5	60741
gemini-cli	60676
z3	60178
libusb	59909
simdutf	59168
yt-dlp	59115
luajit	58168
gdk-pixbuf	57982
ada-url	57808
lzo	57793
