formula	count
openssl@3	503369
ca-certificates	445711
xz	422570
sqlite	375208
python@3.14	350763
gh	319408
zstd	304580
node	285580
readline	252541
lz4	235190
libnghttp2	233849
icu4c@78	218207
libpng	209474
glib	203787
ffmpeg	202283
pcre2	200845
awscli	187446
libunistring	185179
simdjson	184711
mpdecimal	181137
libngtcp2	180647
uv	171584
harfbuzz	162039
gmp	161860
little-cms2	158173
expat	157308
jpeg-turbo	155439
gettext	151023
freetype	149786
cmake	148607
llhttp	147053
simdutf	145186
git	137058
merve	136125
ncurses	133974
giflib	133156
libtiff	132386
zlib-ng-compat	131505
go	130516
libx11	126839
pkgconf	125162
brotli	123812
coreutils	122158
gnutls	121570
libnghttp3	116666
libxext	116043
libvmaf	115018
xorgproto	113340
libgpg-error	112857
gnupg	112692
fontconfig	108727
x265	108418
nbytes	108244
libuv	105517
python@3.13	104942
c-ares	104291
fmt	99092
unbound	98773
mise	92879
libgcrypt	91946
pixman	91732
m4	91258
libxcb	91256
ada-url	90639
libffi	90479
libxau	90422
libedit	90381
llvm	89976
gemini-cli	88571
cairo	88109
libxdmcp	87665
dav1d	86266
libxrender	86032
bzip2	85627
xcbeautify	82986
libmpc	82017
nettle	81929
ollama	81643
hdrhistogram_c	79584
jq	79101
python@3.12	78726
uvwasi	77295
krb5	77065
lzo	76825
certifi	76486
openexr	76453
gcc	75651
ripgrep	75483
libksba	75453
openjph	73466
ruby	71481
imagemagick	71068
curl	71064
libssh2	70976
graphite2	70752
unzip	70627
docker	70469
opus	70125
libomp	70034
aom	69852
