formula	count
ca-certificates	531757
openssl@3	524768
python@3.14	290866
gh	290231
node	239322
ffmpeg	228367
uv	214323
sqlite	209921
awscli	204153
glib	202630
pkgconf	188480
fontconfig	187568
xz	180033
harfbuzz	174495
go	169522
cmake	168886
zstd	164565
pcre2	162494
simdjson	139754
libffi	135983
ncurses	133575
readline	130561
lz4	126545
gmp	124351
icu4c@78	123421
libtiff	120757
json-c	120551
little-cms2	119525
mpdecimal	112701
gcc	110909
protobuf	106863
expat	106120
jpeg-turbo	101004
zlib-ng-compat	100963
libx11	99107
libpng	93794
libnghttp2	88309
abseil	87262
gettext	83691
webp	83164
p11-kit	80596
git	80500
libunistring	80325
pango	79535
llvm	76667
jq	76405
python@3.13	76219
x265	76006
libngtcp2	75634
giflib	75208
libnghttp3	75037
sdl3	73051
poppler	71951
oniguruma	71865
ripgrep	71856
freetype	71239
z3	71231
openjdk	70644
python@3.12	70349
gnupg	70198
brotli	69733
coreutils	69262
mpg123	68713
dav1d	68530
c-ares	67789
fmt	67479
pipx	67442
libcap	67074
simdutf	66771
xorgproto	66492
mise	66324
llhttp	65519
libssh2	64969
graphite2	64488
imagemagick	64336
libvmaf	64193
nss	63835
yq	63510
xcbeautify	61601
yt-dlp	60758
libxext	59925
tmux	59563
hello	59533
libxcb	58980
pnpm	58489
merve	58405
libtool	58135
ollama	57844
libvpx	57760
libpsl	56862
gnutls	56040
gdk-pixbuf	55728
deno	55471
ruby	54444
krb5	54312
openldap	53771
fzf	53227
ninja	52783
ada-url	52664
bubblewrap	51836
