formula	count
ca-certificates	481213
openssl@3	414392
sqlite	333872
python@3.14	320885
gh	298977
xz	287091
node	238557
zstd	230488
fontconfig	215985
awscli	197766
readline	192714
glib	179221
pcre2	178292
icu4c@78	176047
lz4	172103
uv	165638
ffmpeg	160283
harfbuzz	158996
cmake	156394
mpdecimal	148712
libngtcp2	137094
libpng	136337
gmp	134736
libunistring	134258
little-cms2	129747
gettext	128388
ncurses	127389
libnghttp3	125055
libx11	124462
jpeg-turbo	123067
go	121586
libtiff	121215
graphite2	115833
pkgconf	110108
freetype	108319
expat	107622
gnutls	105486
llvm	102475
zlib-ng-compat	101518
llhttp	101316
libffi	100144
libnghttp2	97231
libxext	96669
libcap	94368
brotli	93985
git	93811
xorgproto	92876
giflib	91250
gcc	88396
fmt	87655
coreutils	87214
poppler	83211
protobuf	82770
certifi	82411
libvmaf	82121
gnupg	81210
cairo	80547
imagemagick	79678
libomp	78871
libxcb	78860
bubblewrap	78035
c-ares	77978
aom	77491
xcbeautify	77329
pixman	74102
deno	73986
openexr	73578
python@3.13	73416
simdjson	71638
pnpm	71479
x265	70582
nettle	70154
mise	70019
simdutf	69493
dav1d	69267
python@3.12	68973
libuv	68091
pipx	68069
gemini-cli	67836
libxau	67789
openjdk	67530
openjph	67439
ada-url	67311
ripgrep	67080
libxdmcp	66915
ollama	65951
tmux	65849
libxrender	65344
docker	64831
libusb	64701
pango	63840
jq	63742
libgpg-error	63683
m4	63244
merve	62485
libheif	61767
pyenv	61651
fzf	61478
oniguruma	61207
krb5	60941
