formula	count
ca-certificates	457446
openssl@3	407591
python@3.14	329286
sqlite	325518
gh	316695
xz	273147
node	264219
zstd	226766
fontconfig	204710
awscli	197305
readline	185800
glib	177904
pcre2	175348
icu4c@78	171814
ffmpeg	170171
uv	170004
cmake	169406
lz4	167712
harfbuzz	160214
mpdecimal	146006
libcap	145635
libffi	137812
gmp	137316
libngtcp2	135912
libpng	132216
libunistring	129764
bubblewrap	128279
little-cms2	127425
gettext	126490
ncurses	126231
libnghttp3	126140
libx11	124278
graphite2	122702
libtiff	119978
go	119930
jpeg-turbo	119910
pkgconf	110351
expat	105685
llhttp	105409
freetype	103993
fmt	103675
gcc	103523
zlib-ng-compat	103230
libvmaf	102141
llvm	101700
libxext	95084
libnghttp2	91011
brotli	90883
xorgproto	90825
gnutls	90238
jq	90165
giflib	88320
poppler	86301
coreutils	85170
protobuf	84921
git	83409
imagemagick	82277
python@3.13	82051
cairo	79263
openexr	79112
pipx	78779
xcbeautify	78207
libxcb	78177
openjph	77069
gnupg	76340
certifi	76150
c-ares	75985
libomp	72666
pixman	72198
python@3.12	71717
mise	71471
pnpm	70442
x265	68568
pyenv	68047
deno	67628
dav1d	67271
ollama	67050
nettle	65716
libxau	65644
ripgrep	65029
simdjson	64826
libxdmcp	64817
libuv	64406
oniguruma	63972
libxrender	63060
pango	62984
m4	61554
aom	61003
libgpg-error	60917
krb5	60631
z3	60411
gdk-pixbuf	59028
yt-dlp	58647
simdutf	58281
libusb	58063
bash	58054
gemini-cli	57993
webp	57922
docker	57696
luajit	57654
