formula	count
ca-certificates	491445
openssl@3	419716
sqlite	340393
python@3.14	322535
gh	298620
xz	295403
zstd	236365
node	232755
fontconfig	215701
awscli	201387
readline	197289
glib	181944
pcre2	180695
icu4c@78	179373
lz4	177183
uv	162641
harfbuzz	160264
ffmpeg	157608
cmake	152674
mpdecimal	151881
libpng	139361
libngtcp2	139151
gmp	138004
libunistring	137448
little-cms2	131745
gettext	130615
ncurses	129838
libnghttp3	126636
libx11	126003
jpeg-turbo	125620
go	123519
libtiff	123294
graphite2	115882
gnutls	112963
pkgconf	111241
freetype	111131
expat	110711
zlib-ng-compat	104469
llvm	103014
libnghttp2	100492
libffi	100329
llhttp	99049
libxext	98505
brotli	96020
git	94986
xorgproto	94839
giflib	93691
coreutils	90580
libcap	88928
fmt	88754
gcc	86444
gnupg	83813
poppler	83097
cairo	81963
libvmaf	81713
imagemagick	81004
xcbeautify	80651
protobuf	80642
libxcb	80323
certifi	80130
c-ares	79850
aom	79527
libomp	78009
pixman	75730
simdjson	74348
deno	73630
openjdk	73159
bubblewrap	72679
python@3.13	72669
nettle	72108
pnpm	71986
mise	71866
x265	71589
simdutf	71442
tmux	71361
dav1d	70460
libuv	69858
libxau	69574
openexr	69010
python@3.12	69004
libxdmcp	68659
ada-url	68618
gemini-cli	68353
ripgrep	67877
docker	67605
libusb	67426
openjph	67188
libxrender	67023
pipx	66637
libheif	65483
libgpg-error	65483
ollama	65406
m4	65064
pango	64636
merve	64381
jq	63761
oniguruma	62357
pyenv	62263
krb5	62010
fzf	61950
