formula	count
ca-certificates	485530
openssl@3	447387
xz	435172
sqlite	412310
zstd	362264
node	358599
gh	332307
readline	301980
icu4c@78	291405
lz4	251720
harfbuzz	247331
python@3.14	240189
libnghttp2	235377
libunistring	234487
pcre2	229790
glib	228174
simdjson	217375
mpdecimal	201453
libngtcp2	200779
awscli	198585
freetype	197864
uv	191954
libpng	188684
gettext	184053
ffmpeg	178706
jpeg-turbo	178540
libuv	177634
brotli	170234
cmake	167736
gmp	160732
expat	158198
ncurses	149335
pkgconf	148789
libnghttp3	148715
libtiff	147816
libx11	146806
zlib-ng-compat	146761
go	142644
git	140598
ada-url	139227
giflib	135061
little-cms2	132383
libxext	129564
c-ares	128000
xorgproto	126744
openexr	119129
gemini-cli	117396
fmt	116124
fontconfig	108837
gnupg	108185
m4	106568
libffi	102903
llhttp	100882
uvwasi	100439
bzip2	99864
hdrhistogram_c	98253
libxcb	96894
libxau	96488
dav1d	94651
aom	93585
libxdmcp	93456
python@3.13	93304
gcc	92796
svt-av1	91734
pango	91021
libedit	90616
pixman	90326
libxrender	90038
gnutls	89287
coreutils	88107
krb5	88081
mise	87270
cairo	86002
imagemagick	85172
unzip	84052
berkeley-db@5	83743
protobuf	83227
pipx	81897
poppler	81636
libssh2	80516
libmpc	80248
p11-kit	79902
libgpg-error	79084
yt-dlp	78291
jq	78110
deno	77089
libgcrypt	76376
libvpx	76244
opus	75653
xcbeautify	75606
curl	74724
libtasn1	74422
libevent	74142
libidn2	73843
lzo	72631
unbound	72091
sdl2	70743
libxcrypt	70491
autoconf	68969
x265	68873
