formula	count
ca-certificates	540481
openssl@3	523936
node	290717
sqlite	277732
gh	266489
python@3.14	266290
glib	233344
uv	229332
libcap	219712
pkgconf	211428
awscli	208504
fontconfig	191777
ffmpeg	190503
bubblewrap	189196
xz	182172
cmake	168914
zstd	166774
harfbuzz	155092
pcre2	143526
libffi	138707
json-c	133897
readline	133829
ncurses	130612
icu4c@78	127743
lz4	126693
libtiff	126687
gmp	123834
go	122659
mpdecimal	118158
simdjson	111001
jpeg-turbo	109974
poppler	109638
libx11	105772
libnghttp3	105276
libnghttp2	104823
libngtcp2	104293
zlib-ng-compat	100770
ripgrep	97729
expat	97333
libpng	94332
llhttp	91933
pipx	91457
libssh2	90971
webp	90126
git	89673
gettext	88542
little-cms2	86451
libunistring	83324
gcc	80500
giflib	80140
p11-kit	80113
z3	79810
pango	79030
mpg123	78476
jq	78468
sdl3	77702
c-ares	77475
protobuf	75337
python@3.13	75029
dav1d	74936
freetype	73442
libtool	72794
mise	72738
fzf	72361
xorgproto	71444
ada-url	71339
coreutils	71031
fmt	70773
graphite2	68973
libvmaf	68924
imagemagick	68203
brotli	67906
openjdk	67514
pnpm	67435
llvm	67188
luajit	66859
libpsl	64771
certifi	63926
libxext	63855
tesseract	63442
libxcb	62465
docker	61626
abseil	61345
python@3.12	61137
oniguruma	61103
libgit2	60011
gnupg	59543
pyenv	59324
xcbeautify	58836
deno	58746
ollama	58124
gnutls	56221
nss	55162
svt-av1	53814
krb5	53792
binutils	52821
just	52797
libxau	52519
cairo	52408
lame	52350
