formula	count
openssl@3	494281
ca-certificates	446649
xz	414274
sqlite	372912
python@3.14	350825
gh	316033
zstd	300172
node	281617
readline	249119
libnghttp2	232342
lz4	231932
icu4c@78	215308
libpng	204354
glib	202805
ffmpeg	202465
pcre2	198622
awscli	187579
simdjson	184385
libunistring	182648
mpdecimal	179274
libngtcp2	177644
uv	165163
harfbuzz	160346
gmp	158415
little-cms2	157831
expat	156894
jpeg-turbo	153308
gettext	148943
cmake	147997
freetype	147650
llhttp	147429
simdutf	142153
git	136387
merve	133043
ncurses	132377
libtiff	130687
zlib-ng-compat	129613
giflib	129399
go	128662
libx11	125158
pkgconf	123841
brotli	122863
gnutls	122065
coreutils	120066
libnghttp3	115928
libxext	114652
libvmaf	113631
gnupg	113052
libgpg-error	112664
xorgproto	112000
x265	108966
fontconfig	107353
nbytes	105084
libuv	104720
c-ares	103419
python@3.13	103200
unbound	98694
fmt	98367
llvm	91324
mise	90938
pixman	90730
m4	90385
libedit	90273
libxcb	90245
ada-url	89743
libxau	89362
libffi	88553
cairo	87264
libxdmcp	86668
dav1d	85589
libxrender	85147
libgcrypt	84967
bzip2	84778
gemini-cli	84699
nettle	82834
ollama	82097
libmpc	81544
xcbeautify	80134
hdrhistogram_c	79115
python@3.12	78910
jq	77611
uvwasi	76902
certifi	76687
libksba	76246
lzo	76089
krb5	75919
gcc	75009
ripgrep	74521
openexr	73955
openjph	73141
aom	72570
ruby	71652
docker	71291
curl	70925
libssh2	70689
imagemagick	70488
graphite2	70088
opus	70075
unzip	69935
libomp	69912
