formula	count
ca-certificates	529899
openssl@3	424925
sqlite	362431
xz	313626
python@3.14	290421
gh	268452
zstd	243484
node	227512
readline	205528
fontconfig	200642
awscli	199556
lz4	185103
icu4c@78	184774
glib	184680
pcre2	183467
uv	168309
harfbuzz	157144
mpdecimal	154732
cmake	148460
ffmpeg	147484
libunistring	147298
libpng	145251
libngtcp2	144304
gmp	137868
gettext	134895
little-cms2	133561
jpeg-turbo	130734
ncurses	130386
libnghttp3	128802
go	127130
libx11	125331
libtiff	125269
libnghttp2	120381
gnutls	120100
expat	119300
freetype	118291
pkgconf	113167
graphite2	107536
zlib-ng-compat	106453
llvm	104581
brotli	102519
libxext	101363
git	98936
giflib	98679
llhttp	98257
aom	98116
xorgproto	97881
gnupg	96569
coreutils	92421
fmt	92133
imagemagick	91976
libffi	89142
simdjson	87863
libvmaf	86854
c-ares	84879
cairo	83512
libxcb	81890
nettle	81233
simdutf	79893
libusb	79236
pixman	79192
xcbeautify	79105
protobuf	78013
docker	77922
libuv	76646
poppler	76046
x265	75830
mise	75604
openjdk	74961
dav1d	74188
certifi	74088
gemini-cli	73990
ada-url	73948
libxau	73446
merve	72833
pnpm	72535
libxdmcp	72396
libomp	72062
libgpg-error	71302
libxrender	70852
m4	70528
tmux	70516
ripgrep	70047
nbytes	69521
deno	68981
openjph	68442
yt-dlp	67626
pango	66488
librsvg	66457
ruby	65759
gcc	65700
jq	65547
lzo	65070
libheif	64404
bzip2	64290
ollama	63988
pipx	63798
python@3.13	63703
krb5	63620
fzf	63074
