formula	count
openssl@3	485509
ca-certificates	446827
xz	406277
sqlite	370061
python@3.14	350295
gh	299985
zstd	295880
node	278527
readline	245515
libnghttp2	230936
lz4	228955
icu4c@78	212577
ffmpeg	203526
glib	202626
pcre2	197209
libpng	191439
simdjson	183823
awscli	181793
libunistring	180716
mpdecimal	176753
libngtcp2	165267
uv	161844
harfbuzz	159138
little-cms2	157839
expat	155954
gmp	154885
jpeg-turbo	151710
cmake	147862
llhttp	147461
gettext	147206
freetype	145991
simdutf	139338
git	136077
ncurses	130546
merve	130221
libtiff	129292
zlib-ng-compat	128338
go	126592
giflib	126263
libx11	124220
pkgconf	123044
gnutls	122739
brotli	122360
coreutils	117662
libnghttp3	115116
libxext	113631
gnupg	113498
libgpg-error	112533
libvmaf	112485
xorgproto	110957
x265	109588
fontconfig	106788
libuv	103615
c-ares	102287
nbytes	102106
python@3.13	101645
unbound	98729
fmt	97394
llvm	92579
pixman	89988
libedit	89549
m4	89474
libxcb	89443
mise	88899
ada-url	88716
libxau	88544
cairo	86772
libffi	86474
libxdmcp	85892
dav1d	85009
libxrender	84430
nettle	83801
bzip2	83350
libgcrypt	81542
libmpc	81050
ollama	80894
gemini-cli	80586
python@3.12	79134
hdrhistogram_c	78476
libksba	77034
xcbeautify	76843
certifi	76767
uvwasi	76306
jq	76130
lzo	75599
krb5	75030
gcc	74470
aom	74269
ripgrep	73898
openjph	73122
openexr	72272
docker	71869
ruby	71661
curl	71079
imagemagick	70799
libssh2	70161
opus	69962
libomp	69881
graphite2	69699
svt-av1	68663
