formula	count
ca-certificates	534775
openssl@3	522548
node	293211
sqlite	275974
gh	265328
python@3.14	256126
glib	230102
libcap	225249
uv	225189
pkgconf	213277
awscli	207118
bubblewrap	194370
fontconfig	190154
ffmpeg	187246
xz	180236
cmake	168815
zstd	164786
harfbuzz	149883
pcre2	142752
libffi	137095
json-c	134283
readline	132750
ncurses	128814
icu4c@78	126796
libtiff	125774
lz4	124803
gmp	121609
go	118525
mpdecimal	116947
poppler	109409
jpeg-turbo	109390
libx11	105036
libnghttp3	104884
libngtcp2	103742
libnghttp2	103168
simdjson	103137
ripgrep	100446
zlib-ng-compat	99107
expat	95692
libpng	93417
git	92965
llhttp	92552
pipx	91165
libssh2	91149
webp	89406
gettext	88115
little-cms2	85514
libunistring	82903
giflib	79723
p11-kit	79328
gcc	79256
pango	78036
c-ares	77895
mpg123	77683
jq	77205
sdl3	77089
z3	76433
libtool	76411
dav1d	75943
python@3.13	74377
protobuf	73254
freetype	72803
fmt	72293
ada-url	71684
mise	71066
xorgproto	70871
coreutils	69762
libvmaf	68826
fzf	68823
luajit	68779
graphite2	68514
imagemagick	67471
brotli	67382
pnpm	67186
openjdk	66624
docker	64135
certifi	63589
libxext	63461
libpsl	63189
tesseract	62474
llvm	61942
libxcb	61896
deno	59746
gnupg	59420
oniguruma	59416
python@3.12	59129
abseil	58942
libgit2	58844
pyenv	58573
ollama	56684
xcbeautify	56407
gnutls	55932
svt-av1	55257
nss	54484
krb5	53277
lame	52919
libxau	52062
x265	52038
cairo	51982
libxdmcp	51849
