formula	count
ca-certificates	470305
openssl@3	408459
sqlite	327055
python@3.14	319601
gh	299421
xz	279403
node	241644
zstd	224778
fontconfig	216048
awscli	193099
readline	188060
glib	176684
pcre2	175749
icu4c@78	172535
lz4	167126
ffmpeg	162407
uv	161685
cmake	158070
harfbuzz	157794
mpdecimal	145246
libngtcp2	135044
libpng	133471
gmp	131468
libunistring	131258
little-cms2	127900
gettext	126362
ncurses	125077
libnghttp3	123477
libx11	122884
jpeg-turbo	120577
go	119967
libtiff	119194
graphite2	115682
pkgconf	108705
libffi	107644
freetype	105612
llvm	105063
expat	104231
llhttp	102119
gnutls	99747
zlib-ng-compat	99583
libcap	99498
libxext	94849
libnghttp2	94507
fmt	93367
git	92814
brotli	91938
xorgproto	90923
gcc	90023
giflib	88881
libvmaf	87294
coreutils	84271
certifi	83835
poppler	83619
bubblewrap	83147
protobuf	80428
libomp	79243
cairo	79143
gnupg	78929
imagemagick	78582
libxcb	77471
c-ares	76059
aom	75712
openexr	75634
xcbeautify	74232
python@3.13	74166
deno	73148
pixman	72474
pnpm	69711
x265	69489
pipx	69230
simdjson	69210
python@3.12	69101
jq	68658
nettle	68396
dav1d	68037
openjph	67573
simdutf	67474
gemini-cli	67448
mise	67038
libuv	66442
ollama	66330
ripgrep	66180
libxau	66061
ada-url	65934
libxdmcp	65135
openjdk	64149
libxrender	63704
docker	63312
pango	63163
libusb	62359
libgpg-error	61975
tmux	61722
m4	61657
fzf	61163
pyenv	60950
oniguruma	60734
merve	60715
yt-dlp	60356
krb5	59812
