formula	count
openssl@3	485781
ca-certificates	457216
xz	407169
sqlite	373446
python@3.14	354210
zstd	297937
gh	296439
node	277862
readline	246986
libnghttp2	232251
lz4	230997
icu4c@78	213406
glib	204774
ffmpeg	203956
pcre2	198218
libpng	188755
awscli	182942
libunistring	181615
simdjson	177931
mpdecimal	177869
libngtcp2	161841
uv	161684
little-cms2	159977
harfbuzz	159849
expat	157806
gmp	156439
jpeg-turbo	152638
llhttp	148675
cmake	148506
gettext	148008
freetype	146863
simdutf	138235
git	136381
ncurses	131803
libtiff	130631
zlib-ng-compat	129707
merve	129045
go	127198
giflib	126040
gnutls	125375
libx11	125077
pkgconf	123829
brotli	122891
coreutils	119707
gnupg	116952
libnghttp3	115708
libxext	114426
libgpg-error	114219
libvmaf	112269
xorgproto	111725
x265	110703
fontconfig	107937
libuv	103689
c-ares	102731
python@3.13	101609
nbytes	100671
unbound	100071
fmt	97881
llvm	93905
mise	90975
pixman	90971
libedit	90703
m4	90225
libxcb	90043
libxau	89277
ada-url	88783
cairo	87755
libffi	87050
libxdmcp	86578
nettle	86128
libxrender	85098
dav1d	85047
bzip2	84065
libmpc	81366
libgcrypt	80866
ollama	80076
python@3.12	79519
libksba	79489
gemini-cli	79267
xcbeautify	79077
hdrhistogram_c	78841
aom	77692
certifi	77264
jq	76970
uvwasi	76557
lzo	76524
imagemagick	76240
krb5	75218
gcc	74706
docker	74208
openjph	74008
ripgrep	73686
ruby	72951
curl	71729
libssh2	70641
graphite2	70557
pnpm	70270
libomp	70141
opus	69902
unzip	69077
