formula	count
openssl@3	480132
ca-certificates	446618
sqlite	413973
xz	394782
zstd	382699
node	366512
gh	337438
readline	316158
icu4c@78	279787
libunistring	267725
lz4	252638
python@3.14	244978
pcre2	242110
glib	229911
harfbuzz	227186
libnghttp2	220748
awscli	212532
freetype	208943
uv	208753
simdjson	207317
mpdecimal	205818
libngtcp2	204947
gettext	193452
libuv	188723
ffmpeg	179240
brotli	175950
go	163111
gmp	162177
libpng	160606
libnghttp3	156890
expat	156494
libtiff	155541
libx11	155323
zlib-ng-compat	154102
pkgconf	153764
ncurses	151031
cmake	147196
ada-url	146117
little-cms2	137486
c-ares	137136
libxext	135559
git	133835
xorgproto	131975
jpeg-turbo	130209
gemini-cli	125794
fmt	123838
giflib	121018
m4	115766
openexr	114423
python@3.13	110760
llhttp	110240
fontconfig	109805
uvwasi	107280
gnupg	105293
hdrhistogram_c	105097
libffi	104074
bzip2	102668
gcc	101095
libxcb	100009
imagemagick	99278
libxau	99218
dav1d	97206
libxdmcp	96089
gnutls	93765
libxrender	91715
libedit	91250
pixman	90793
coreutils	90515
protobuf	88807
certifi	87716
krb5	87519
svt-av1	86804
unzip	86441
cairo	86048
mise	85648
berkeley-db@5	85402
pango	85258
libgpg-error	83259
p11-kit	83115
libvpx	82312
libssh2	81274
libgcrypt	81227
xcbeautify	79363
opus	78632
deno	77456
yt-dlp	76715
node@22	76436
libtasn1	75377
poppler	74695
libmpc	74574
curl	73201
jpeg-xl	72870
unbound	72807
lzo	72182
libomp	72114
libevent	72067
sdl2	72016
aom	71901
libidn2	71224
jq	71031
