formula	count
ca-certificates	463527
openssl@3	411120
python@3.14	329221
sqlite	326749
gh	316338
xz	276199
node	255307
zstd	227513
fontconfig	207527
awscli	201780
readline	187066
glib	176835
pcre2	176402
icu4c@78	172710
uv	169657
ffmpeg	169246
cmake	168683
lz4	168340
harfbuzz	160643
mpdecimal	146625
gmp	137132
libcap	136921
libngtcp2	135966
libffi	133924
libpng	133090
libunistring	130565
little-cms2	128482
gettext	127362
ncurses	126979
libnghttp3	125772
libx11	124922
graphite2	121647
go	120757
jpeg-turbo	120550
libtiff	120401
bubblewrap	119748
pkgconf	110535
freetype	104740
llhttp	104384
zlib-ng-compat	103143
expat	102671
llvm	102444
fmt	102024
gcc	101589
libvmaf	100349
libxext	95333
gnutls	92233
libnghttp2	91671
xorgproto	91292
brotli	91287
giflib	88776
jq	88533
imagemagick	86877
coreutils	86493
poppler	86233
protobuf	85254
git	83534
python@3.13	81425
openexr	79936
cairo	79584
xcbeautify	79119
libxcb	78356
gnupg	77824
certifi	76924
openjph	76252
c-ares	76206
pipx	74223
libomp	73368
pixman	72553
python@3.12	71604
pnpm	71173
mise	70114
x265	68739
dav1d	67322
pyenv	66923
ollama	66923
nettle	66512
libxau	65904
simdjson	65618
ripgrep	65404
deno	65187
libxdmcp	65010
libuv	64862
oniguruma	64265
libxrender	63309
pango	63178
aom	62660
m4	61861
libgpg-error	61629
krb5	60728
z3	60329
gemini-cli	58991
libusb	58977
openjdk	58896
yt-dlp	58839
simdutf	58792
gdk-pixbuf	58445
bash	57932
webp	57818
lzo	57706
