formula	count
openssl@3	486851
ca-certificates	380362
python@3.14	311728
sqlite	304804
gh	300732
node	286130
libcap	259247
bubblewrap	237896
xz	230533
zstd	209518
glib	209505
ffmpeg	205291
libffi	186742
awscli	177004
fontconfig	176834
readline	169012
uv	162106
cmake	160457
pcre2	159464
libtiff	156009
lz4	155545
icu4c@78	153255
jpeg-turbo	152314
gmp	135433
mpdecimal	131647
libngtcp2	126593
git	126410
libnghttp3	122209
harfbuzz	119197
fmt	118584
libpng	117980
gcc	117959
pkgconf	117379
libx11	114331
libunistring	113532
gettext	113411
llhttp	112636
ncurses	111818
little-cms2	111705
libvmaf	111070
c-ares	108143
go	105736
jq	105691
expat	105376
zlib-ng-compat	102601
python@3.13	100834
poppler	96395
freetype	92670
graphite2	92224
sdl3	89715
gnupg	87482
libxext	86117
pango	85864
json-c	85493
giflib	84552
xorgproto	84117
tmux	83174
brotli	82790
protobuf	82775
llvm	80670
hdrhistogram_c	79878
libnghttp2	77776
coreutils	76762
luajit	74015
libssh2	73538
imagemagick	72555
libxcb	72292
sdl2-compat	72127
gnutls	72121
cairo	71342
certifi	68915
webp	67412
openexr	66593
p11-kit	66511
gpgme	66229
pixman	66226
curl	65303
xcbeautify	65167
python@3.12	64945
deno	64931
pipx	63549
pnpm	63462
lame	63227
mise	62985
yt-dlp	62459
gdk-pixbuf	62283
z3	61882
libxau	61477
x265	61417
oniguruma	61019
libevent	60715
dav1d	60566
just	59920
docker	59669
libxdmcp	59402
ripgrep	58240
krb5	57940
libxrender	57806
libuv	57051
libomp	55387
