formula	count
openssl@3	500142
ca-certificates	376815
sqlite	301500
gh	299223
python@3.14	288780
node	286266
libcap	263575
bubblewrap	241876
xz	227986
glib	210912
zstd	207687
ffmpeg	207164
libffi	188967
awscli	183449
fontconfig	178725
readline	166814
cmake	164314
uv	160413
pcre2	158701
libtiff	158247
lz4	154145
jpeg-turbo	153543
icu4c@78	152049
gmp	137530
pkgconf	132892
mpdecimal	131100
git	128166
libngtcp2	125678
libnghttp3	121509
gcc	119376
fmt	118894
libpng	116856
harfbuzz	116825
libx11	113969
gettext	112647
llhttp	112225
libunistring	112202
ncurses	112162
libvmaf	111215
c-ares	111135
little-cms2	110166
jq	108096
go	107688
expat	104993
zlib-ng-compat	103195
python@3.13	102972
json-c	95993
poppler	95068
sdl3	92689
freetype	91616
graphite2	90127
gnupg	88835
pango	86461
libxext	85014
giflib	84991
xorgproto	83446
tmux	83443
protobuf	83174
brotli	82106
hdrhistogram_c	81118
llvm	80435
coreutils	78846
libnghttp2	77260
libssh2	77048
sdl2-compat	75034
imagemagick	72326
libxcb	71711
gnutls	71251
webp	70533
cairo	70310
dav1d	69852
luajit	69781
p11-kit	69647
certifi	68258
xcbeautify	66989
lame	66332
gpgme	66324
curl	66085
pixman	65424
pnpm	64735
openexr	63682
deno	63231
pipx	62897
mise	62802
libevent	62446
python@3.12	61750
oniguruma	61653
gdk-pixbuf	61029
libxau	60960
yt-dlp	60720
x265	60668
z3	60519
just	60158
docker	59554
libxdmcp	58845
krb5	58290
ripgrep	58108
libxrender	57112
libuv	56392
libomp	54620
