formula	count
ca-certificates	441055
openssl@3	410240
sqlite	350891
python@3.14	329020
gh	297025
node	281742
xz	264258
zstd	224279
glib	200956
fontconfig	198455
awscli	187735
readline	186763
libcap	174359
ffmpeg	172768
uv	172264
pcre2	172122
icu4c@78	168007
lz4	165966
harfbuzz	159417
bubblewrap	156230
cmake	156213
libngtcp2	150590
libffi	150118
mpdecimal	144242
libnghttp3	144066
gmp	137868
libpng	128563
libunistring	126777
graphite2	126579
little-cms2	124260
gettext	124039
ncurses	123631
libx11	122459
libtiff	118122
go	118023
jpeg-turbo	117781
fmt	111566
llhttp	111072
pkgconf	110430
gcc	108977
expat	107707
libvmaf	106352
zlib-ng-compat	105111
freetype	101637
git	100753
llvm	98643
jq	94669
libxext	93641
xorgproto	89317
brotli	89010
libnghttp2	87715
poppler	86962
giflib	86516
protobuf	84700
gnutls	84390
python@3.13	83808
coreutils	83592
pipx	82256
imagemagick	79245
openjph	79086
cairo	77974
pango	77666
openexr	77461
libxcb	77245
xcbeautify	77102
c-ares	74410
certifi	73956
python@3.12	72560
gnupg	72541
ollama	71847
pixman	71289
libomp	70784
mise	69211
pyenv	68636
gdk-pixbuf	67523
docker	67381
x265	67038
pnpm	66302
dav1d	65838
tmux	65321
deno	65237
libxau	64881
ripgrep	63986
libxdmcp	63759
libuv	62776
oniguruma	62414
nettle	62324
libxrender	62210
simdjson	62118
hdrhistogram_c	61517
z3	61509
curl	61213
m4	59853
krb5	59771
bash	59077
simdutf	59035
libgpg-error	58492
yt-dlp	58417
ada-url	58062
luajit	57978
