formula	count
openssl@3	483629
ca-certificates	441428
sqlite	413830
xz	396399
zstd	385800
node	366942
gh	332806
readline	317470
icu4c@78	277557
libunistring	264491
lz4	253479
python@3.14	246847
pcre2	243384
glib	230179
harfbuzz	226129
awscli	218606
libnghttp2	217510
simdjson	210158
uv	209322
mpdecimal	206086
freetype	205677
libngtcp2	204873
gettext	194604
libuv	189901
ffmpeg	178313
brotli	176054
go	164192
gmp	162511
libpng	161622
libnghttp3	157372
libtiff	156275
libx11	156119
expat	155875
zlib-ng-compat	155132
pkgconf	153951
ncurses	151077
ada-url	151028
cmake	146533
little-cms2	138096
c-ares	137579
libxext	136134
xorgproto	132312
git	131879
jpeg-turbo	130640
gemini-cli	126161
fmt	124479
giflib	119125
m4	116872
openexr	113534
llhttp	111512
python@3.13	111257
fontconfig	109641
uvwasi	107672
hdrhistogram_c	105850
libffi	104113
gnupg	103562
gcc	103009
bzip2	102987
imagemagick	100233
libxcb	100149
libxau	99526
dav1d	97447
libxdmcp	96243
gnutls	94048
libxrender	91692
libedit	91112
coreutils	90826
pixman	90685
protobuf	88658
certifi	87632
krb5	87353
unzip	86637
cairo	86043
berkeley-db@5	85615
svt-av1	85208
mise	84517
pango	83859
libgpg-error	83630
p11-kit	83088
libvpx	82916
libgcrypt	81869
libssh2	81094
xcbeautify	79890
opus	78652
yt-dlp	77383
node@22	77289
deno	75735
libtasn1	74910
libksba	74599
poppler	74267
libmpc	74059
jpeg-xl	73692
curl	72651
unbound	72375
lzo	72120
sdl2	71639
libevent	71426
x265	70828
aom	70553
jq	70488
