formula	count
openssl@3	519434
zstd	420890
xz	411827
ca-certificates	380439
sqlite	368890
gh	339304
node	334077
readline	325612
python@3.14	276399
pcre2	264524
lz4	251131
awscli	234245
icu4c@78	231698
libunistring	218321
glib	216744
mpdecimal	203253
gettext	203179
uv	200046
libuv	198587
libpng	198237
freetype	196594
libngtcp2	194267
go	193785
ffmpeg	191564
libnghttp2	174923
libx11	172367
libtiff	171845
brotli	169107
zlib-ng-compat	166705
gmp	161667
libnghttp3	158486
harfbuzz	157654
simdjson	154330
ncurses	153728
pkgconf	152640
expat	142342
little-cms2	139915
libxext	139025
git	138615
ada-url	138423
c-ares	136317
llhttp	135566
gcc	134380
xorgproto	132721
gemini-cli	132612
m4	131466
jpeg-turbo	129114
cmake	128884
fmt	128356
python@3.13	126902
gnutls	120754
openexr	120103
hdrhistogram_c	108170
uvwasi	106179
bzip2	105404
fontconfig	104092
libffi	101457
dav1d	99088
libxcb	97501
libxau	97245
coreutils	96428
libvpx	96045
jpeg-xl	94350
libxdmcp	93711
openjph	93329
p11-kit	91450
libgpg-error	90574
libgcrypt	90243
libedit	89487
krb5	88937
libxrender	88646
libssh2	88210
protobuf	87440
unzip	87060
pixman	85519
berkeley-db@5	84179
certifi	84119
zlib	81112
cairo	80930
xcbeautify	78973
opus	78973
imagemagick	78933
mise	78613
gnupg	77372
svt-av1	76665
abseil	74832
node@22	73828
pango	72947
libtasn1	72041
giflib	72029
pyenv	71985
libxml2	71709
poppler	71314
binutils	70603
llvm	70520
x265	69116
sdl2	68957
unbound	68490
libpq	68463
libtool	68420
