formula	count
openssl@3	552010
ca-certificates	484785
node	293791
sqlite	284938
gh	274945
libcap	270927
bubblewrap	241149
pkgconf	233643
python@3.14	233573
glib	214368
awscli	214179
uv	204329
xz	190827
fontconfig	182073
cmake	181177
zstd	174722
ffmpeg	169495
json-c	165023
libffi	154786
pcre2	146940
libtiff	143659
readline	138816
icu4c@78	132625
lz4	131355
gmp	130016
jpeg-turbo	126437
go	125951
ncurses	124350
c-ares	121395
harfbuzz	120506
mpdecimal	119809
libssh2	111107
poppler	110598
libngtcp2	110193
libnghttp3	109764
ripgrep	108508
libx11	108201
git	107428
zlib-ng-compat	103257
libpng	99585
webp	97124
gettext	94202
llhttp	91923
libnghttp2	91033
little-cms2	90814
expat	89655
libunistring	89399
luajit	87847
dav1d	85635
giflib	85540
jq	84198
gcc	83105
simdjson	81793
fmt	81172
fzf	79339
lame	77301
pipx	77002
coreutils	76951
freetype	76811
p11-kit	76775
python@3.13	76116
mise	75414
xorgproto	74564
libvmaf	74560
pnpm	74233
libtool	74150
imagemagick	73987
mpg123	73276
graphite2	72732
gnupg	72433
sdl3	72191
brotli	70200
libxext	69396
z3	68347
ada-url	67017
libxcb	64425
deno	64327
llvm	63966
svt-av1	63451
protobuf	63391
pango	62734
openjdk	62691
certifi	62598
docker	62265
xcbeautify	60559
hdrhistogram_c	60482
gnutls	59637
oniguruma	57912
cairo	56070
just	55681
krb5	54810
libxau	54459
tesseract	54401
libevent	54382
yt-dlp	53581
x265	53496
libxdmcp	53452
ruby	53266
libpsl	53183
isl	52507
