formula	count
openssl@3	546969
xz	420280
sqlite	398814
zstd	388380
ca-certificates	383902
readline	336791
python@3.14	332065
node	312578
gh	288844
pcre2	262747
icu4c@78	244500
lz4	243989
awscli	233018
gettext	225335
ffmpeg	213157
go	206585
libpng	203113
mpdecimal	201940
uv	199339
glib	197233
python@3.13	191019
libnghttp3	173323
libnghttp2	171895
libngtcp2	171692
brotli	168859
libtiff	166186
libx11	157341
ncurses	156663
libuv	155598
cmake	154593
gmp	153538
libxext	151374
expat	150952
libunistring	150670
little-cms2	150513
pkgconf	150288
freetype	144437
llhttp	144065
harfbuzz	143312
ada-url	141116
fmt	139576
c-ares	136530
xorgproto	134307
gcc	134097
gemini-cli	133729
zlib	131060
jpeg-turbo	130647
simdjson	130083
m4	124835
hdrhistogram_c	122250
git	121796
gnutls	112074
zlib-ng-compat	108611
dav1d	105755
uvwasi	104956
coreutils	103817
svt-av1	103541
bzip2	103249
p11-kit	103193
krb5	102381
fontconfig	101000
libffi	98310
openexr	95583
libxcb	95062
libxau	94583
libssh2	92496
libxdmcp	91378
protobuf	90843
libgcrypt	90821
libedit	89008
pango	87636
libvpx	87315
libxrender	85996
openjph	85810
opus	84904
unzip	84815
berkeley-db@5	83864
jpeg-xl	82594
pixman	82267
curl	81709
xcbeautify	78666
binutils	78281
libgpg-error	77832
abseil	77761
cairo	77127
mise	75679
yt-dlp	73796
gnupg	71924
python@3.12	70902
x265	69936
libtasn1	69927
mpfr	69462
giflib	69447
libxml2	69329
sdl2	68705
libtool	68302
libthai	68123
libdatrie	67921
certifi	67204
yq	67157
